encoder,classifier,split,subset_accuracy,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,auc_micro,auc_macro,pr_auc_micro,pr_auc_macro,brier_macro,ece_macro
siglip2_so400m,gradient_boosting,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.4419350699635956e-10,7.942635940555996e-06
siglip2_so400m,gradient_boosting,validation,0.0,0.25,0.1111111111111111,0.15384615384615385,0.04,0.04,0.04,0.4907407407407407,0.5833333333333334,0.1729606418012215,0.6481481481481483,0.1363772109059939,0.15513919578864288
siglip2_so400m,gradient_boosting,test,0.0,0.16666666666666666,0.04,0.06451612903225806,0.04,0.04,0.04,0.55728,0.5595238095238095,0.2041419867955243,0.37976190476190474,0.18055049098707293,0.19826844156210854
