model,case_id,negative_group,conditions_negative,total_burden
derm_mil,7016019628017771783,no_target,25,0.1716310575585626
derm_mil,3792345894543337291,no_target,25,0.171490937806037
derm_mil,-5509136872198304738,no_target,25,0.13743599590903263
derm_mil,7834516257211580148,no_target,25,0.10968262278895703
derm_mil,-7153750305679064145,other_target,24,0.10061235711520457
derm_mil,8526851448906485320,no_target,25,0.092915681180613
derm_mil,-5530479155432265675,no_target,25,0.0879821630493962
derm_mil,1536806056159749402,no_target,25,0.0849179538006658
derm_mil,3299546696242067710,other_target,24,0.08340791946866613
derm_mil,2466364176000821696,no_target,25,0.08251361520577591
derm_mil,4568546558823066996,other_target,23,0.08205132510076248
derm_mil,-8682722200146064228,no_target,25,0.0791000712908423
derm_mil,-5536464459584180926,no_target,25,0.07805932672851598
derm_mil,-4603590259708776060,other_target,24,0.07786663236560973
derm_mil,4174741067077204848,no_target,25,0.07396963921912009
derm_mil,-5290023226334382045,no_target,25,0.07368202801115865
derm_mil,4497213824147905451,no_target,25,0.07284779430967345
derm_mil,-1721193395195371413,no_target,25,0.07247508386812053
derm_mil,-2117370401055716418,other_target,24,0.07212461852830407
derm_mil,-4244106461387893359,no_target,25,0.0720716318957303
derm_mil,935346003160692168,other_target,24,0.07198231031173476
derm_mil,-1595867844041726825,no_target,25,0.07126372786083482
derm_mil,728144289746942042,other_target,24,0.07079383400961922
derm_mil,-3865684081418033870,no_target,25,0.07047135411669787
derm_mil,7725839505462261463,no_target,25,0.06926016775703939
derm_rf,-177741761654665523,other_target,23,0.19265504064678693
derm_rf,7016019628017771783,no_target,25,0.13601088972339243
derm_rf,4174741067077204848,no_target,25,0.12418052185993658
derm_rf,-4058464818092242774,other_target,22,0.11990867021258082
derm_rf,3792345894543337291,no_target,25,0.11755666135147913
derm_rf,-1650964543725469791,no_target,25,0.11403146261679886
derm_rf,7080229892107845400,no_target,25,0.11210082056572498
derm_rf,-4603590259708776060,other_target,24,0.10977212093349015
derm_rf,-5509136872198304738,no_target,25,0.10632322183458447
derm_rf,8782672317230447778,no_target,25,0.09909446049255986
derm_rf,5757270424284677695,no_target,25,0.09848398859530677
derm_rf,1536806056159749402,no_target,25,0.0973243388630093
derm_rf,8526851448906485320,no_target,25,0.09300468524453812
derm_rf,-7648328073811044824,other_target,24,0.09269738870904257
derm_rf,3299546696242067710,other_target,24,0.08752694682427777
derm_rf,2544728617164619888,other_target,22,0.0871863130242877
derm_rf,-194017562508969044,other_target,24,0.08679663341688142
derm_rf,6706936975924217543,no_target,25,0.08583753935170274
derm_rf,4568546558823066996,other_target,23,0.08579388303462018
derm_rf,6217701841771476491,no_target,25,0.08300576403905321
derm_rf,3769301197196891122,other_target,22,0.08252890092279071
derm_rf,-2110024220741452514,other_target,24,0.08107154582643619
derm_rf,-5985187582348783309,other_target,23,0.08083017979913691
derm_rf,7470478986187106035,other_target,24,0.0790234702730794
derm_rf,4497213824147905451,no_target,25,0.07416274003178884
siglip2_mil,3792345894543337291,no_target,25,0.16062668925999757
siglip2_mil,4807333818606185992,no_target,25,0.1383952007694729
siglip2_mil,2423832154619234155,other_target,24,0.13768900407629525
siglip2_mil,2236754577021954519,no_target,25,0.13036650947817477
siglip2_mil,7834516257211580148,no_target,25,0.1257196067807157
siglip2_mil,-3409164447306126047,no_target,25,0.11047473420983826
siglip2_mil,-736839246514769800,other_target,23,0.09296703326007674
siglip2_mil,7948232149813529685,other_target,24,0.09209430706131636
siglip2_mil,197413089653793303,no_target,25,0.08997572127640223
siglip2_mil,5934517756964685033,other_target,22,0.08914607442333038
siglip2_mil,-5773542380724506264,no_target,25,0.08727957325165142
siglip2_mil,-5544919736541720663,no_target,25,0.08610132945867205
siglip2_mil,597372832999055528,other_target,24,0.08558844147419115
siglip2_mil,-4572573838215927835,other_target,22,0.08467986905865237
siglip2_mil,-6485920953755598815,no_target,25,0.08438485652779018
siglip2_mil,3709961426407971963,no_target,25,0.07995004301718532
siglip2_mil,-177741761654665523,other_target,23,0.07618835240689684
siglip2_mil,8703075882165822765,other_target,23,0.07606130255399024
siglip2_mil,-5290023226334382045,no_target,25,0.07565175067447745
siglip2_mil,1622051857171397810,no_target,25,0.07292929617911176
siglip2_mil,4681724446514740962,other_target,24,0.07247814900871681
siglip2_mil,-5536464459584180926,no_target,25,0.07098147450238247
siglip2_mil,713531290049695300,other_target,23,0.07055954896230186
siglip2_mil,2703731886619579739,no_target,25,0.06977374575464153
siglip2_mil,4424458690494893258,no_target,25,0.06955933271949115
siglip2_rf,-177741761654665523,other_target,23,0.15673334069883466
siglip2_rf,-5082848560372092470,no_target,25,0.1391154104357644
siglip2_rf,-5585920928490955201,other_target,23,0.12981392831777647
siglip2_rf,7852465164599698161,other_target,24,0.12363838089016774
siglip2_rf,3792345894543337291,no_target,25,0.118206307037997
siglip2_rf,597372832999055528,other_target,24,0.11624412303955381
siglip2_rf,-4244106461387893359,no_target,25,0.11601315101400869
siglip2_rf,-8425743791157482594,other_target,21,0.09442990353287703
siglip2_rf,2911542453433068160,other_target,24,0.09428326058143924
siglip2_rf,5757270424284677695,no_target,25,0.09177241857765915
siglip2_rf,-4058464818092242774,other_target,22,0.08936374174024156
siglip2_rf,-5985187582348783309,other_target,23,0.08849265459636099
siglip2_rf,8782672317230447778,no_target,25,0.0881699224317872
siglip2_rf,6706936975924217543,no_target,25,0.0874776365462728
siglip2_rf,-6969050153229908945,other_target,23,0.08691822484244895
siglip2_rf,-3794873461762905046,no_target,25,0.08180994011931204
siglip2_rf,-4603590259708776060,other_target,24,0.07964299029437705
siglip2_rf,4661589930380459281,no_target,25,0.07930225674922865
siglip2_rf,-1390386660930294961,no_target,25,0.07867158619688797
siglip2_rf,7710746745920131018,no_target,25,0.07862366776949976
siglip2_rf,7016019628017771783,no_target,25,0.07774275561523047
siglip2_rf,7948232149813529685,other_target,24,0.07602655013695976
siglip2_rf,-9212359218854294582,other_target,23,0.0760214498978154
siglip2_rf,8882028009541975226,no_target,25,0.07545133420333118
siglip2_rf,-8894705295203367911,other_target,24,0.07482357704986531
