model,negative_group,negative_pairs,total_ap_deficit_burden,mean_burden_per_negative_pair,share_of_model_ap_deficit
derm_mil,no_target,8800,9.158967314911465,0.0010407917403308482,0.49238961318305824
derm_mil,other_target,9147,9.44208979452514,0.0010322608280884597,0.5076103868169418
derm_rf,no_target,8800,8.683664831673605,0.0009867800945083643,0.46378133224266366
derm_rf,other_target,9147,10.039953882522644,0.0010976225956622547,0.5362186677573364
siglip2_mil,no_target,8800,8.594463398207196,0.0009766435679780905,0.4769091944168971
siglip2_mil,other_target,9147,9.426710231534614,0.001030579450260699,0.5230908055831028
siglip2_rf,no_target,8800,8.537063805314409,0.0009701208869675465,0.4618562687809175
siglip2_rf,other_target,9147,9.947179848773532,0.0010874800315702998,0.5381437312190824
