model,condition,positives,ap,ap_deficit
siglip2_mil,Eczema,157,0.4208429160003266,0.5791570839996734
siglip2_mil,Allergic Contact Dermatitis,130,0.3583870129741819,0.641612987025818
siglip2_mil,Insect Bite,60,0.36309059278920497,0.636909407210795
siglip2_mil,Urticaria,50,0.4026203680417734,0.5973796319582265
siglip2_mil,Psoriasis,46,0.2424232746899074,0.7575767253100926
siglip2_mil,Folliculitis,40,0.4512040205497644,0.5487959794502356
siglip2_mil,Irritant Contact Dermatitis,37,0.23709088979584605,0.762909110204154
siglip2_mil,Tinea,31,0.15025536988629265,0.8497446301137074
siglip2_mil,Herpes Zoster,21,0.3116674929574376,0.6883325070425623
siglip2_mil,Drug Rash,22,0.30543768499588553,0.6945623150041145
siglip2_mil,Herpes Simplex,20,0.4673945996091554,0.5326054003908446
siglip2_mil,Impetigo,18,0.13500053501014642,0.8649994649898536
siglip2_mil,Acute Dermatitis NOS,19,0.15784576742729084,0.8421542325727092
siglip2_mil,Hypersensitivity,17,0.21886069231190583,0.7811393076880941
siglip2_mil,Acne,15,0.5543006353194083,0.4456993646805917
siglip2_mil,Pigmented Purpuric Eruption,15,0.5416397174110422,0.4583602825889578
siglip2_mil,Leukocytoclastic Vasculitis,15,0.192456325264619,0.807543674735381
siglip2_mil,Lichen Planus Lichenoid Eruption,14,0.16165619452767008,0.8383438054723299
siglip2_mil,Pityriasis Rosea,12,0.23554515378705856,0.7644548462129415
siglip2_mil,Viral Exanthem,13,0.13291609769668264,0.8670839023033173
siglip2_mil,Lichen Simplex Chronicus,11,0.07855992383660704,0.921440076163393
siglip2_mil,Stasis Dermatitis,11,0.4512120055930616,0.5487879944069384
siglip2_mil,Keratosis Pilaris,9,0.20732562742017874,0.7926743725798213
siglip2_mil,CD - Contact Dermatitis,11,0.02817783957806311,0.9718221604219369
siglip2_mil,Scabies,9,0.17291563278468047,0.8270843672153195
siglip2_rf,Eczema,157,0.42789346189882055,0.5721065381011794
siglip2_rf,Allergic Contact Dermatitis,130,0.3743591723349176,0.6256408276650824
siglip2_rf,Insect Bite,60,0.40333269149008366,0.5966673085099163
siglip2_rf,Urticaria,50,0.33430982108538176,0.6656901789146182
siglip2_rf,Psoriasis,46,0.2535683713953989,0.7464316286046011
siglip2_rf,Folliculitis,40,0.4557623557374776,0.5442376442625224
siglip2_rf,Irritant Contact Dermatitis,37,0.18851680294114373,0.8114831970588563
siglip2_rf,Tinea,31,0.13358843004282683,0.8664115699571732
siglip2_rf,Herpes Zoster,21,0.2877457977083925,0.7122542022916075
siglip2_rf,Drug Rash,22,0.20939906934851182,0.7906009306514882
siglip2_rf,Herpes Simplex,20,0.31738080615706143,0.6826191938429386
siglip2_rf,Impetigo,18,0.06134138618729648,0.9386586138127035
siglip2_rf,Acute Dermatitis NOS,19,0.19864635444952797,0.8013536455504721
siglip2_rf,Hypersensitivity,17,0.09256640336802179,0.9074335966319782
siglip2_rf,Acne,15,0.6359614103079115,0.36403858969208847
siglip2_rf,Pigmented Purpuric Eruption,15,0.54339700844964,0.45660299155036
siglip2_rf,Leukocytoclastic Vasculitis,15,0.2807088820442203,0.7192911179557797
