model,condition,positives,ap,ap_deficit
siglip2_rf,Lichen Planus Lichenoid Eruption,14,0.19546742064536768,0.8045325793546323
siglip2_rf,Pityriasis Rosea,12,0.1076943200801005,0.8923056799198995
siglip2_rf,Viral Exanthem,13,0.1277470986864118,0.8722529013135882
siglip2_rf,Lichen Simplex Chronicus,11,0.07354585929834144,0.9264541407016585
siglip2_rf,Stasis Dermatitis,11,0.49831119204140895,0.501688807958591
siglip2_rf,Keratosis Pilaris,9,0.24706619990640155,0.7529338000935984
siglip2_rf,CD - Contact Dermatitis,11,0.02056348889208156,0.9794365111079184
siglip2_rf,Scabies,9,0.046882541415312465,0.9531174585846875
derm_mil,Eczema,157,0.41281279927745784,0.5871872007225422
derm_mil,Allergic Contact Dermatitis,130,0.30261542192919794,0.6973845780708021
derm_mil,Insect Bite,60,0.35289725341841033,0.6471027465815897
derm_mil,Urticaria,50,0.42467988594006767,0.5753201140599323
derm_mil,Psoriasis,46,0.25838216496725913,0.7416178350327409
derm_mil,Folliculitis,40,0.3540094328802815,0.6459905671197185
derm_mil,Irritant Contact Dermatitis,37,0.1827312284982716,0.8172687715017284
derm_mil,Tinea,31,0.23286410408399252,0.7671358959160075
derm_mil,Herpes Zoster,21,0.3141460912790186,0.6858539087209814
derm_mil,Drug Rash,22,0.3110583864929353,0.6889416135070647
derm_mil,Herpes Simplex,20,0.4676629150967234,0.5323370849032766
derm_mil,Impetigo,18,0.14303552169800768,0.8569644783019923
derm_mil,Acute Dermatitis NOS,19,0.11217017435811877,0.8878298256418813
derm_mil,Hypersensitivity,17,0.16823448841944771,0.8317655115805522
derm_mil,Acne,15,0.3365552564669325,0.6634447435330675
derm_mil,Pigmented Purpuric Eruption,15,0.4300091430860266,0.5699908569139733
derm_mil,Leukocytoclastic Vasculitis,15,0.21066746001031258,0.7893325399896874
derm_mil,Lichen Planus Lichenoid Eruption,14,0.27927314130837894,0.7207268586916211
derm_mil,Pityriasis Rosea,12,0.12425892064454346,0.8757410793554565
derm_mil,Viral Exanthem,13,0.18357612072089166,0.8164238792791083
derm_mil,Lichen Simplex Chronicus,11,0.2011119885540257,0.7988880114459743
derm_mil,Stasis Dermatitis,11,0.3806083343882438,0.6193916656117562
derm_mil,Keratosis Pilaris,9,0.13019176588460418,0.8698082341153959
derm_mil,CD - Contact Dermatitis,11,0.029805228741547785,0.9701947712584522
derm_mil,Scabies,9,0.05558566241869836,0.9444143375813017
derm_rf,Eczema,157,0.45595430176381274,0.5440456982361872
derm_rf,Allergic Contact Dermatitis,130,0.3532996687763387,0.6467003312236612
derm_rf,Insect Bite,60,0.4063142365719286,0.5936857634280714
derm_rf,Urticaria,50,0.42672300963653664,0.5732769903634634
derm_rf,Psoriasis,46,0.29077899617079855,0.7092210038292015
derm_rf,Folliculitis,40,0.36784467136966587,0.6321553286303341
derm_rf,Irritant Contact Dermatitis,37,0.16826076365073445,0.8317392363492655
derm_rf,Tinea,31,0.2528623006583722,0.7471376993416279
derm_rf,Herpes Zoster,21,0.27663704709754733,0.7233629529024527
derm_rf,Drug Rash,22,0.19762918925091402,0.802370810749086
derm_rf,Herpes Simplex,20,0.4083089180770726,0.5916910819229274
derm_rf,Impetigo,18,0.18777315618433954,0.8122268438156605
derm_rf,Acute Dermatitis NOS,19,0.1303996591452318,0.8696003408547682
derm_rf,Hypersensitivity,17,0.14410431073542054,0.8558956892645795
derm_rf,Acne,15,0.3371383698390221,0.6628616301609779
derm_rf,Pigmented Purpuric Eruption,15,0.43841971977067984,0.5615802802293202
derm_rf,Leukocytoclastic Vasculitis,15,0.21959077226553578,0.7804092277344642
derm_rf,Lichen Planus Lichenoid Eruption,14,0.2880074264002216,0.7119925735997784
derm_rf,Pityriasis Rosea,12,0.1644123746684245,0.8355876253315755
derm_rf,Viral Exanthem,13,0.13902209604315086,0.8609779039568491
derm_rf,Lichen Simplex Chronicus,11,0.1341790563595303,0.8658209436404697
derm_rf,Stasis Dermatitis,11,0.22547721033302495,0.7745227896669751
derm_rf,Keratosis Pilaris,9,0.15212971135906203,0.8478702886409379
derm_rf,CD - Contact Dermatitis,11,0.04858406644190853,0.9514159335580915
derm_rf,Scabies,9,0.06253025323447657,0.9374697467655234
