encoder,seed,split,subset_accuracy,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,auc_micro,auc_macro,pr_auc_micro,pr_auc_macro,brier_macro,ece_macro
bit50,42,train,0.0,0.0634550445788693,0.6937583001328022,0.1162749287749287,0.0682293594144939,0.8056050512726826,0.1137989258041056,0.6612545052248185,0.7539275456516793,0.0745527101045662,0.1209937284387693,0.2437771711999499,0.4185488677754276
bit50,42,validation,0.0,0.060091743119266,0.6517412935323383,0.1100377992440151,0.0646040461376375,0.7443669914930524,0.1069083546419586,0.6378837415493739,0.7100560038824848,0.0681350536573456,0.1253990699257338,0.2444078436027803,0.4183313893370913
bit50,42,test,0.0,0.0613672860747877,0.6662515566625156,0.1123831530301438,0.0663844411525967,0.7539320160420465,0.1103078082737998,0.6416663330197168,0.713724456074173,0.0673994826643466,0.1133913296219884,0.2454585155328773,0.4191398879944284
bit50,43,train,0.0008500991782374,0.0733820741944218,0.7197875166002656,0.1331858950731048,0.0694011652884594,0.7449169324126266,0.1206384675648743,0.7085244828563243,0.7436892667239101,0.083852685798902,0.1162691790039652,0.2230316547273257,0.3966811846827914
bit50,43,validation,0.0013262599469496,0.0707941820054061,0.6840796019900498,0.1283098098681908,0.0661009314551734,0.6965878398562855,0.114304408294328,0.6883622933211588,0.7060938760330889,0.0774934002641586,0.112835201508274,0.2215870680632098,0.3942363797018023
bit50,43,test,0.0,0.0726877874297394,0.7085927770859277,0.1318503070327887,0.0678655978118203,0.6988007494868809,0.1175948774133414,0.6919849305839715,0.7075065165242944,0.0795214265519616,0.1110536015547435,0.2237520037528247,0.3962132254618903
bit50,44,train,0.0104845565315953,0.0744470979129893,0.5713147410358566,0.1317288260150652,0.0792513279333713,0.6997679158394982,0.1265859727733451,0.7060112930549488,0.7761067877069678,0.0872283263393465,0.1349314602487192,0.2033128238495426,0.3676261769067976
bit50,44,validation,0.0039787798408488,0.0701956271576524,0.5310945273631841,0.1240017424132423,0.0734520594973009,0.611444876610244,0.1140843960043941,0.6708749213590697,0.7027038880369234,0.075392289104501,0.1286342199620324,0.2037761791020413,0.3661864743264582
bit50,44,test,0.0093333333333333,0.0709393346379647,0.5417185554171855,0.1254506128334535,0.076003371301839,0.626172168792411,0.1184711510757419,0.6797792809199303,0.7129981857884651,0.0756556633342647,0.1107447106143544,0.2041274552091125,0.3665092189001169
bit50,45,train,0.0065174270331538,0.0832734897882974,0.7699867197875166,0.1502929130592565,0.076195408571817,0.7837243152347395,0.1331580965510942,0.7428305658100097,0.7760716552048804,0.0962166135810588,0.1353946768920554,0.2133201558221637,0.3628396120696052
