comparison,metric,difference,ci_lower,ci_upper,bootstrap_p,paired_permutation_p,replicates
SigLIP2+MIL - Derm Foundation+MIL,macro_roc_auc,-0.0029116645075001335,-0.01873892946895147,0.012565745195559115,0.7279272072792721,0.7030296970302969,10000
SigLIP2+MIL - Derm Foundation+MIL,macro_pr_auc,-0.008171941019463974,-0.039900199225588955,0.02306898089144608,0.5707429257074292,0.643035696430357,10000
