model_id,encoder,classifier,scope_n,selected_positive_labels,scope_positive_cases,scope_all_zero_cases,pr_no_skill_baseline,roc_auc_macro,roc_auc_micro,pr_auc_macro,pr_auc_micro,pr_macro_lift_ratio,pr_micro_lift_ratio,pr_macro_normalized_gain,pr_micro_normalized_gain,pr_auc_macro_ci_95_lower,pr_auc_micro_ci_95_lower,roc_auc_macro_ci_95_lower,roc_auc_micro_ci_95_lower,pr_auc_macro_ci_95_upper,pr_auc_micro_ci_95_upper,roc_auc_macro_ci_95_upper,roc_auc_micro_ci_95_upper
bit50__gradient_boosting,bit50,gradient_boosting,5,443,291,459,0.11813333333333334,0.6827926913509162,0.7357831155064057,0.21653207676956207,0.2474427572473866,1.8329464737829746,2.0946057329067713,0.11158006891014749,0.14663149067967937,,,,,,,,
bit50__gradient_boosting,bit50,gradient_boosting,10,594,341,409,0.0792,0.6870020388750568,0.7644089802357975,0.16499646630684303,0.21084146206927362,2.0832887159954927,2.6621396725918385,0.09317600598049851,0.14296422900659606,,,,,,,,
bit50__gradient_boosting,bit50,gradient_boosting,15,683,367,383,0.06071111111111111,0.7046703425845485,0.7794966816358726,0.13406340283457738,0.17979517439165105,2.208218567919466,2.9614871330982053,0.07809343066991536,0.12678108374241265,,,,,,,,
bit50__gradient_boosting,bit50,gradient_boosting,20,752,389,361,0.050133333333333335,0.7137313116120156,0.7846548265079385,0.11333464671394619,0.1547038910997619,2.2606644956239266,3.0858488916175912,0.06653703682686643,0.11008972252220862,,,,,,,,
bit50__gradient_boosting,bit50,gradient_boosting,25,803,398,352,0.042826666666666666,0.693242186834835,0.7855901779704056,0.09653221774495778,0.1374173286498901,2.254021273621368,3.208686067478754,0.0561084907069682,0.09882291815821247,,,,,,,,
bit50__knn,bit50,knn,5,443,291,459,0.11813333333333334,0.6058786846819393,0.662629581822811,0.1709519512505692,0.20474230563435722,1.4471101968163307,1.7331459280560713,0.05989410861494843,0.0982109604260174,,,,,,,,
bit50__knn,bit50,knn,10,594,341,409,0.0792,0.6176213701152614,0.6931704827013255,0.12558404376817792,0.16777991787355892,1.5856571182850745,2.1184333064843295,0.05037363571696124,0.09619886823800926,,,,,,,,
bit50__knn,bit50,knn,15,683,367,383,0.06071111111111111,0.6038530948101439,0.705418786988582,0.1126258818561333,0.15152568555540016,1.855111523984626,2.4958476756929016,0.05527029155687514,0.09668439126509434,,,,,,,,
bit50__knn,bit50,knn,20,752,389,361,0.050133333333333335,0.5951894402829905,0.7090536969727741,0.09940995058385535,0.13955539998845629,1.9829112483481783,2.7836848401952716,0.05187740446082469,0.0941417040866679,,,,,,,,
bit50__knn,bit50,knn,25,803,398,352,0.042826666666666666,0.5889979064145314,0.7116241533376155,0.09110615997865935,0.13070770212550964,2.1273231626399287,3.0520167059194345,0.05043965563045985,0.09181308379413304,,,,,,,,
bit50__logistic,bit50,logistic,5,443,291,459,0.11813333333333334,0.6326484947162183,0.677693735362638,0.17552116883818508,0.19122926242846927,1.4857886752668037,1.618757864800812,0.06507541068738858,0.08288773332529777,,,,,,,,
bit50__logistic,bit50,logistic,10,594,341,409,0.0792,0.6599230743026457,0.710820679036723,0.144482491195273,0.161093887538904,1.8242738787281945,2.034013731551818,0.07089757949095679,0.088937757970139,,,,,,,,
