encoder,classifier,split,subset_accuracy,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,auc_micro,auc_macro,pr_auc_micro,pr_auc_macro,brier_macro,ece_macro,seed,auc_weighted,label_ranking_average_precision,coverage_error,ranking_loss,top1_hit,top3_hit,top5_hit
bit50,gradient_boosting,train,0.5556814961745536,0.999087591240876,0.2908366533864542,0.4505245834190495,0.9993220338983052,0.5466847847382497,0.6370880253321474,0.9883690339282228,0.987964323816448,0.8901480541594218,0.950021782544916,0.0191212691816962,0.0368516543990906,,,,,,,,
bit50,gradient_boosting,validation,0.4363395225464191,0.0963855421686747,0.0099502487562189,0.0180383314543404,0.0983333333333333,0.0159926014338674,0.0249123831868929,0.7919695824325123,0.6939601542603142,0.1426625053216,0.1060413964143448,0.0406242825042657,0.0160903018060255,,,,,,,,
bit50,gradient_boosting,test,0.4293333333333333,0.0491803278688524,0.0037359900373599,0.0069444444444444,0.0613333333333333,0.0054848484848484,0.0091512195121951,0.7855901779704056,0.693242186834835,0.1374173286498901,0.0965322177449577,0.0405759173123055,0.0185618047794003,,,,,,,,
bit50,knn,train,0.998299801643525,0.999734113267748,0.99867197875166,0.9992027637523252,0.9999460188933872,0.9993615904206448,0.9996529314016872,0.9999999355329492,0.9999997707878456,0.9999982380423464,0.9999955586291382,3.967129498502194e-05,8.274439527257728e-09,,,,,,,,
bit50,knn,validation,0.4297082228116711,0.2692307692307692,0.0435323383084577,0.0749464668094218,0.0492521367521367,0.0150937776523919,0.0228871072969037,0.7096266699308511,0.6014433632136921,0.123813300072797,0.0807696712383656,0.0424228970851499,0.0337487641991146,,,,,,,,
bit50,knn,test,0.4186666666666667,0.2867647058823529,0.0485678704856787,0.0830670926517571,0.0804935064935064,0.0143894822799281,0.0226380415118832,0.7116241533376155,0.5889979064145314,0.1307077021255096,0.0911061599786593,0.042341812499914,0.0329164873972685,,,,,,,,
bit50,logistic,train,0.826579767639558,0.8524552547039926,0.9867197875166004,0.9146866921088268,0.971481121100176,0.9971405140866804,0.982267913862972,0.9989666419176084,0.9971062656043264,0.9714791237941854,0.9825887799211914,0.0075467349494966,0.0190444499946038,,,,,,,,
bit50,logistic,validation,0.1538461538461538,0.164824120603015,0.2039800995024875,0.1823235130628126,0.0939956322611233,0.107941436898776,0.0987567852135694,0.7301900670646545,0.6748943037683537,0.1198604775104318,0.0960629191220994,0.0641617550964157,0.0693935555047664,,,,,,,,
bit50,logistic,test,0.1626666666666666,0.1821903787103377,0.2216687422166874,0.2,0.1312246408427431,0.1389718987833145,0.1309856959762387,0.7413295103522263,0.6905739298573386,0.125983334818928,0.1101590373839569,0.062504801457071,0.067059734269679,,,,,,,,
bit50,random_forest,train,0.9980164352507792,0.9978796713490592,1.0,0.998938710533298,0.999037075546365,1.0,0.9995166565291782,0.9999968914302532,0.9999997707878456,0.9999197523621828,0.9999955586291382,0.0044075744737024,0.0451046453805383,,,,,,,,
