encoder,classifier,split,subset_accuracy,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,auc_micro,auc_macro,pr_auc_micro,pr_auc_macro,brier_macro,ece_macro,seed
bit50,gradient_boosting,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4419350699635956e-10,7.942635940555994e-06,
bit50,gradient_boosting,validation,0.0,0.3333333333333333,0.1111111111111111,0.1666666666666666,0.04,0.04,0.04,0.5572390572390572,0.6944444444444444,0.188367347976283,0.7222222222222222,0.1473910693471145,0.1909284222287604,
bit50,gradient_boosting,test,0.0,0.25,0.16,0.1951219512195122,0.13,0.14,0.1333333333333333,0.5136,0.4744047619047619,0.2095582724516342,0.4452380952380952,0.2031592248976393,0.244318368952468,
bit50,knn,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.3499936122689716e-16,1.0040892397308358e-08,
bit50,knn,validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5151515151515151,0.4444444444444444,0.1587896825396825,0.5555555555555556,0.1306906402539563,0.2047610316892368,
bit50,knn,test,0.0,0.25,0.08,0.1212121212121212,0.016,0.04,0.0228571428571428,0.51312,0.4547619047619048,0.2096575353400268,0.4055555555555556,0.1634506559478556,0.2050432900192518,
bit50,logistic,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0008812291797363,0.0255334159927625,
bit50,logistic,validation,0.0,0.0869565217391304,0.2222222222222222,0.125,0.04,0.08,0.0533333333333333,0.367003367003367,0.2777777777777778,0.1182931311717164,0.4629629629629629,0.3263353759895427,0.4467418500267724,
bit50,logistic,test,0.0,0.1527777777777778,0.44,0.2268041237113402,0.1506666666666666,0.36,0.2022857142857143,0.46784,0.4440476190476191,0.1651898285886021,0.3988095238095238,0.3673016761300591,0.4652021960777729,
bit50,random_forest,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0090480825211176,0.0607333333333333,
bit50,random_forest,validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5462962962962963,0.5,0.1919903437869549,0.611111111111111,0.1106733827160493,0.1743111111111111,
bit50,random_forest,test,0.0,0.4,0.08,0.1333333333333333,0.016,0.04,0.0228571428571428,0.49504,0.4214285714285715,0.1933007213802157,0.4373015873015873,0.1506707407407407,0.185637037037037,
bit50,svm_linear,train,0.2631578947368421,1.0,0.1666666666666666,0.2857142857142857,0.08,0.08,0.08,0.7237997658079626,0.5682320261437909,0.3155136237172005,0.3832140929246192,0.0895005838546553,0.1274730580223032,
bit50,svm_linear,validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4595959595959595,0.2777777777777778,0.1714163390581961,0.4259259259259259,0.1206832091538331,0.2070578883546199,
bit50,svm_linear,test,0.0,0.25,0.04,0.0689655172413793,0.01,0.02,0.0133333333333333,0.50336,0.4571428571428571,0.1973254032901207,0.4083333333333333,0.1470686584817989,0.1340491471834116,
clip_vitb32,gradient_boosting,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4419350699635956e-10,7.942635940555993e-06,
clip_vitb32,gradient_boosting,validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5892255892255892,0.5555555555555556,0.2016326437369841,0.6296296296296295,0.1373689548444039,0.1596696363851895,
clip_vitb32,gradient_boosting,test,0.0,0.3333333333333333,0.12,0.1764705882352941,0.0466666666666666,0.08,0.0586666666666666,0.6008,0.6583333333333334,0.2512855529004768,0.5373015873015873,0.1636420162222283,0.1846158703372528,
clip_vitb32,knn,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1178537188783409e-15,1.6569629404586313e-08,
clip_vitb32,knn,validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5328282828282829,0.5277777777777778,0.152703081232493,0.574074074074074,0.1324572014694174,0.2219316463465147,
clip_vitb32,knn,test,0.0,0.2,0.04,0.0666666666666666,0.02,0.02,0.02,0.5691200000000001,0.6023809523809525,0.1992920688257208,0.4761904761904761,0.1577830150718816,0.2105368954079207,
clip_vitb32,logistic,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0037772333390852,0.0543379953334865,
clip_vitb32,logistic,validation,0.0,0.12,0.3333333333333333,0.1764705882352941,0.1,0.12,0.1066666666666666,0.5319865319865319,0.6111111111111112,0.1487068455121193,0.6851851851851851,0.2587291785969297,0.3877033407144046,
clip_vitb32,logistic,test,0.0,0.2121212121212121,0.28,0.2413793103448276,0.1493333333333333,0.2,0.1628571428571428,0.51008,0.4738095238095238,0.1781441653942826,0.4746031746031746,0.2147704756998775,0.3042499832181407,
clip_vitb32,random_forest,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0080186640675763,0.0551485380116959,
clip_vitb32,random_forest,validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5883838383838382,0.5555555555555556,0.2115104207886248,0.6296296296296295,0.1087994567901234,0.1879851851851851,
clip_vitb32,random_forest,test,0.0,1.0,0.04,0.0769230769230769,0.04,0.02,0.0266666666666666,0.55184,0.6,0.2491538886008354,0.5210317460317461,0.144062586419753,0.165137037037037,
clip_vitb32,svm_linear,train,0.2631578947368421,1.0,0.1875,0.3157894736842105,0.12,0.0933333333333333,0.1,0.8738778298204528,0.8126928104575163,0.6041955447944524,0.6642547411309022,0.0673033296777237,0.0881160522276433,
clip_vitb32,svm_linear,validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5084175084175084,0.3333333333333333,0.1862423833012068,0.4814814814814814,0.1153024709555116,0.1788053792259972,
clip_vitb32,svm_linear,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51488,0.6166666666666666,0.2266320186291661,0.540079365079365,0.1433282615690436,0.1197770364490007,
derm_foundation,gradient_boosting,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.441935069963596e-10,7.942635940555996e-06,
derm_foundation,gradient_boosting,validation,0.0,0.2,0.1111111111111111,0.1428571428571428,0.02,0.04,0.0266666666666666,0.67003367003367,0.6111111111111112,0.220544484275997,0.6666666666666666,0.1435232729369618,0.1692582944582269,
derm_foundation,gradient_boosting,test,0.0,0.3636363636363636,0.16,0.2222222222222222,0.0426666666666666,0.08,0.0548571428571428,0.6064,0.6065476190476191,0.3069191729579849,0.4964285714285714,0.1660447582355007,0.1840243272970068,
derm_foundation,knn,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0361046827651147e-16,5.855119684626643e-09,
derm_foundation,knn,validation,0.0,0.1538461538461538,0.2222222222222222,0.1818181818181818,0.0533333333333333,0.08,0.06,0.569023569023569,0.6388888888888888,0.242715846245258,0.6481481481481481,0.1438661193470151,0.2231282822297425,
derm_foundation,knn,test,0.0,0.4444444444444444,0.16,0.2352941176470588,0.0933333333333333,0.1,0.0866666666666666,0.6108800000000001,0.6595238095238095,0.2869667512564064,0.5333333333333333,0.1506895688524642,0.210037821061853,
derm_foundation,logistic,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0002025272099169,0.0122765415270565,
derm_foundation,logistic,validation,0.0,0.2058823529411764,0.7777777777777778,0.3255813953488372,0.2133333333333333,0.28,0.2333333333333333,0.68013468013468,0.8333333333333334,0.3184711747947042,0.8703703703703703,0.3041155078766034,0.3988199788758436,
derm_foundation,logistic,test,0.0,0.2916666666666667,0.56,0.3835616438356164,0.2733333333333333,0.48,0.3319999999999999,0.67072,0.7202380952380951,0.311041894763074,0.6087301587301587,0.2348523560534205,0.3124738750852108,
derm_foundation,random_forest,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.007403290448343,0.0546573099415204,
