label,total_cases,train_cases,validation_cases,test_cases,train_images,effective_number_weight
Eczema,1056,740,159,157,2352,0.153305448752464
Allergic Contact Dermatitis,873,613,130,130,1946,0.17491462610100963
Insect Bite,403,282,61,60,879,0.3261907465299266
Urticaria,332,232,50,50,696,0.38711051780242817
Psoriasis,308,216,46,46,661,0.41259393646550524
Folliculitis,268,188,40,40,586,0.46767089254852745
Irritant Contact Dermatitis,249,174,38,37,541,0.5018790985710504
Tinea,206,144,31,31,466,0.5976417382326777
Herpes Zoster,142,99,22,21,297,0.8503343553028013
Drug Rash,148,104,22,22,335,0.8114457282671447
Herpes Simplex,141,100,21,20,295,0.8422452537240487
Impetigo,121,85,18,18,267,0.9835831193998109
Acute Dermatitis NOS,124,87,18,19,277,0.9619201474354722
Hypersensitivity,113,79,17,17,249,1.055157250687889
Acne,98,69,14,15,207,1.2021244632301056
Pigmented Purpuric Eruption,98,69,14,15,220,1.2021244632301056
Leukocytoclastic Vasculitis,99,69,15,15,218,1.2021244632301056
Lichen Planus Lichenoid Eruption,89,62,13,14,209,1.3332225609982014
Pityriasis Rosea,80,56,12,12,173,1.4716875136766903
Viral Exanthem,82,57,12,13,187,1.4465850938844798
Lichen Simplex Chronicus,78,55,12,11,167,1.4977029917743754
Stasis Dermatitis,70,49,10,11,163,1.6761005705602656
Keratosis Pilaris,61,43,9,9,148,1.9042947121453282
CD - Contact Dermatitis,70,49,10,11,190,1.6761005705602656
Scabies,63,44,10,9,154,1.8619397368893222
