encoder,label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece,default_sensitivity,default_specificity,default_balanced_accuracy,sensitivity_ci_lower,sensitivity_ci_upper,specificity_ci_lower,specificity_ci_upper
bit50,Eczema,0.48,2,4,2,3,1,0,1.0,0.25,0.625,0.4,1.0,0.5714285714285714,0.75,0.75,0.2425739090988919,0.3226948281129201,0.5,1.0,0.75,0.342380227506653,1.0,0.0455872608097005,0.6993581574175981
bit50,Allergic Contact Dermatitis,0.52,1,5,1,2,3,0,1.0,0.6,0.8,0.3333333333333333,1.0,0.5,0.6,0.3333333333333333,0.2642220999770256,0.3581540410717328,1.0,0.2,0.6,0.2065493143772374,1.0,0.2307242812760128,0.882379225767352
bit50,Insect Bite,0.47,2,4,2,4,0,0,1.0,0.0,0.5,0.3333333333333333,1.0,0.5,0.125,0.2916666666666666,0.2749971379043083,0.2065957287947337,1.0,0.0,0.5,0.342380227506653,1.0,0.0,0.4898908364545973
bit50,Urticaria,0.0,1,5,1,5,0,0,1.0,0.0,0.5,0.1666666666666666,1.0,0.2857142857142857,1.0,1.0,0.2096541746304825,0.2755783274769783,0.0,1.0,0.5,0.2065493143772374,1.0,0.0,0.4344824647831747
bit50,Psoriasis,0.43,1,5,1,3,2,0,1.0,0.4,0.7,0.25,1.0,0.4,1.0,1.0,0.2000934566681312,0.269287126759688,0.0,1.0,0.5,0.2065493143772374,1.0,0.1176207742326478,0.769275718723987
bit50,Folliculitis,0.0,1,5,1,5,0,0,1.0,0.0,0.5,0.1666666666666666,1.0,0.2857142857142857,0.8,0.5,0.2508197965394222,0.3422213171919187,1.0,0.4,0.7,0.2065493143772374,1.0,0.0,0.4344824647831747
bit50,Irritant Contact Dermatitis,0.0,1,5,1,5,0,0,1.0,0.0,0.5,0.1666666666666666,1.0,0.2857142857142857,0.8,0.5,0.283098459274778,0.3857255478700002,1.0,0.0,0.5,0.2065493143772374,1.0,0.0,0.4344824647831747
bit50,Tinea,0.0,1,5,1,5,0,0,1.0,0.0,0.5,0.1666666666666666,1.0,0.2857142857142857,1.0,1.0,0.2253699609509224,0.3053876956303915,0.0,1.0,0.5,0.2065493143772374,1.0,0.0,0.4344824647831747
bit50,Herpes Zoster,0.47,0,6,0,6,0,0,,0.0,0.0,0.0,0.0,0.0,,,0.2365465471996945,0.48627903064092,,0.8333333333333334,0.8333333333333334,,,2.775557561562892e-17,0.3903342879021653
bit50,Drug Rash,0.0,2,4,2,4,0,0,1.0,0.0,0.5,0.3333333333333333,1.0,0.5,0.5,0.45,0.2453903821117992,0.1507759367426236,0.0,0.75,0.375,0.342380227506653,1.0,0.0,0.4898908364545973
