encoder,key,model_id,revision,embedding_dimension,backend
ResNet-50,resnet50,resnet50,IMAGENET1K_V2,2048,torchvision
Inception-v3,inception_v3,inception_v3,IMAGENET1K_V1,2048,torchvision
BiT-50,bit50,google/bit-50,main,2048,transformers
ViT-Base,vit_base,google/vit-base-patch16-224-in21k,main,768,transformers
CLIP ViT-B/32,clip_vitb32,openai/clip-vit-base-patch32,main,512,transformers
Derm Foundation,derm_foundation,google-derm-foundation,release-provided,6144,tensorflow_savedmodel
SigLIP2 SO400M,siglip2_so400m,google/siglip2-so400m-patch14-384,main,1152,transformers
