split,aggregation,subset_accuracy,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,auc_micro,auc_macro,auc_weighted,pr_auc_micro,pr_auc_macro,label_ranking_average_precision,coverage_error,ranking_loss,top1_hit,top3_hit,top5_hit,brier_macro,ece_macro
validation,probability_ensemble,0.06490066225165562,0.17512322412293418,0.7503105590062111,0.2839680300893277,0.14678367216188234,0.6561168338866559,0.23815646205072244,0.8823328188858375,0.8544063517139188,0.8084055258955588,0.265778863103096,0.28235852940042283,0.790762771029737,2.9271523178807946,0.05597119162327461,0.49624060150375937,0.8245614035087719,0.9072681704260651,0.10665546569906105,0.20674090226206354
validation,mean_per_seed_metric,0.06847682119205298,0.170194951958129,0.7479503105590062,0.2769988712396602,0.14376877910882513,0.6578578095969702,0.23349073788268887,0.8768360860284539,0.8489127979174322,0.8023440674654925,0.24904357892497772,0.27037220930700917,0.7811690622927391,3.0462251655629133,0.05981831904185246,0.4754385964912281,0.7937343358395988,0.9017543859649123,0.10919409574629915,0.20669837886217995
test,probability_ensemble,0.07019867549668875,0.17665615141955837,0.7642679900744417,0.28697880270207315,0.1429419235556823,0.6435941547073791,0.2320030254184851,0.879190185897539,0.8432198233427041,0.810988399575335,0.2636586225409072,0.27966324697574413,0.7908105004616601,3.0860927152317883,0.0584288610697752,0.5025,0.79,0.92,0.10689336921867654,0.20691612430777806
test,mean_per_seed_metric,0.06596026490066226,0.1715606526570155,0.7574441687344915,0.2794806121154632,0.14079289710034507,0.6436834875880941,0.22851725267019737,0.8737428154852223,0.8380142235366493,0.8048206440480354,0.2481805503353279,0.26255811193910206,0.7831597470941338,3.1750993377483447,0.06156220707778135,0.4862499999999999,0.7885,0.9065,0.10943078114475217,0.20688264220461977
