label,auc_difference,ci_lower,ci_upper,bootstrap_p,paired_permutation_p,holm_adjusted_p
Eczema,0.027631282155938353,-0.002222255861363118,0.05676338814293282,0.06679332066793321,0.4724527547245275,1.0
Allergic Contact Dermatitis,0.004019851116625284,-0.025571599464936853,0.033659191218444344,0.7993200679932007,0.9169083091690831,1.0
Insect Bite,-0.003248792270531542,-0.029243708721036314,0.021360520242841796,0.7811218878112188,0.9439056094390561,1.0
Urticaria,0.0011285714285713677,-0.03633817877332471,0.03554136213183608,0.9225077492250775,0.9818018198180182,1.0
Psoriasis,0.01903717885375511,-0.019025641846070907,0.0595116970158603,0.34336566343365665,0.7193280671932807,1.0
Folliculitis,-0.007852112676056344,-0.04572918864275661,0.02372112899506896,0.686931306869313,0.8421157884211579,1.0
Irritant Contact Dermatitis,-0.012186801106857215,-0.058727445568336416,0.029225384715100226,0.5949405059494051,0.8622137786221378,1.0
Tinea,0.0036789447709631995,-0.06196931271741361,0.06406759938501783,0.8937106289371063,0.9553044695530447,1.0
Herpes Zoster,0.0001959631589261157,-0.02952401779265593,0.029349871809267146,0.9901009899010099,0.9964003599640036,1.0
Drug Rash,0.026879370629370625,-0.047388434736653336,0.10365799625521016,0.47295270472952705,0.7422257774222578,1.0
Herpes Simplex,0.03695205479452068,0.011898174522778419,0.06566503117756767,0.0031996800319968005,0.45315468453154684,1.0
Impetigo,-0.022616879174256255,-0.11401416947637709,0.05279604254108351,0.620937906209379,0.7803219678032197,1.0
Acute Dermatitis NOS,0.04633162934696511,-0.009848163051200379,0.10556969683769521,0.10038996100389962,0.5988401159884011,1.0
Hypersensitivity,0.0043736457748173585,-0.050077096944200004,0.05713699120841104,0.8629137086291371,0.9602039796020398,1.0
Acne,0.011111111111111183,-0.013645669899681506,0.041456513716324306,0.41875812418758124,0.7794220577942206,1.0
Pigmented Purpuric Eruption,0.0005442176870747994,-0.01761717697427349,0.019343680017285626,0.9541045895410459,0.9852014798520148,1.0
Leukocytoclastic Vasculitis,0.020634920634920673,-0.04550679056767035,0.09198781890373647,0.5501449855014499,0.7728227177282272,1.0
Lichen Planus Lichenoid Eruption,-0.04687500000000011,-0.0962284449558808,0.004183741267429041,0.06919308069193081,0.46915308469153083,1.0
Pityriasis Rosea,0.0032181571815718124,-0.040761562090744725,0.04806767929244371,0.8783121687831217,0.9628037196280372,1.0
Viral Exanthem,-0.059336186201857766,-0.13765560717832323,0.017327979061513666,0.12018798120187982,0.3137686231376862,1.0
Lichen Simplex Chronicus,0.0696272604256366,0.01709270581310046,0.1284485997330212,0.009599040095990401,0.5556444355564444,1.0
Stasis Dermatitis,0.009718292532906903,-0.006673457745318875,0.035490621504340056,0.44315568443155684,0.893010698930107,1.0
Keratosis Pilaris,0.0479082321187585,-0.0006720430107526321,0.1047625500064525,0.05399460053994601,0.5881411858814118,1.0
CD - Contact Dermatitis,0.059724443350965606,-0.07731660567799961,0.19390703903549028,0.3945605439456054,0.6992300769923008,1.0
Scabies,-0.012595591542959972,-0.07816101535199074,0.03999996145516286,0.7338733873387339,0.8896110388961104,1.0
