comparison,metric,difference,ci_lower,ci_upper,bootstrap_p,paired_permutation_p,replicates
siglip2_so400m+MIL - derm_foundation+random_forest:case_mean,macro_roc_auc,-0.013914704875515382,-0.030775094667471786,0.0033364460377477805,0.10978902109789021,0.43125687431256876,10000
siglip2_so400m+MIL - derm_foundation+random_forest:case_mean,macro_pr_auc,-0.0032694768290781606,-0.041081641684946754,0.028002771795909157,0.6985301469853015,0.8987101289871013,10000
