model_id,encoder,classifier,label,label_slug,test_positives,test_prevalence,roc_auc,pr_auc,roc_auc_ci_95_lower,roc_auc_ci_95_upper
bit50__knn,bit50,knn,Eczema,eczema,157,0.20933333333333334,0.5660411810829099,0.2466627610646602,,
bit50__knn,bit50,knn,Allergic Contact Dermatitis,allergic_contact_dermatitis,130,0.17333333333333334,0.5919727047146403,0.2492316611638876,,
bit50__knn,bit50,knn,Insect Bite,insect_bite,60,0.08,0.6705314009661836,0.1539048947125239,,
bit50__knn,bit50,knn,Urticaria,urticaria,50,0.06666666666666667,0.5962285714285714,0.12642947463562243,,
bit50__knn,bit50,knn,Psoriasis,psoriasis,46,0.06133333333333333,0.6046195652173914,0.07853096467615181,,
bit50__knn,bit50,knn,Folliculitis,folliculitis,40,0.05333333333333334,0.6286619718309859,0.07969838317904765,,
bit50__knn,bit50,knn,Irritant Contact Dermatitis,irritant_contact_dermatitis,37,0.04933333333333333,0.5655585459232023,0.057778951929418836,,
bit50__knn,bit50,knn,Tinea,tinea,31,0.04133333333333333,0.5995782673067431,0.05412260911476417,,
bit50__knn,bit50,knn,Herpes Zoster,herpes_zoster,21,0.028,0.6605264876869815,0.07902419646053566,,
bit50__knn,bit50,knn,Drug Rash,drug_rash,22,0.029333333333333333,0.6924950049950049,0.1304565407451669,,
bit50__knn,bit50,knn,Herpes Simplex,herpes_simplex,20,0.02666666666666667,0.7011986301369864,0.1379422968925673,,
bit50__knn,bit50,knn,Impetigo,impetigo,18,0.024,0.4596235579842137,0.023246016585058808,,
bit50__knn,bit50,knn,Acute Dermatitis NOS,acute_dermatitis_nos,19,0.025333333333333333,0.49290805673554605,0.0495405334705382,,
bit50__knn,bit50,knn,Hypersensitivity,hypersensitivity,17,0.02266666666666667,0.5406869432629805,0.059490196078431375,,
bit50__knn,bit50,knn,Acne,acne,15,0.02,0.6871655328798187,0.1633287471336252,,
bit50__knn,bit50,knn,Pigmented Purpuric Eruption,pigmented_purpuric_eruption,15,0.02,0.6344671201814058,0.09830977549582201,,
bit50__knn,bit50,knn,Leukocytoclastic Vasculitis,leukocytoclastic_vasculitis,15,0.02,0.5073922902494331,0.03233333333333334,,
bit50__knn,bit50,knn,Lichen Planus Lichenoid Eruption,lichen_planus_lichenoid_eruption,14,0.018666666666666668,0.5693905279503104,0.03355272738420976,,
bit50__knn,bit50,knn,Pityriasis Rosea,pityriasis_rosea,12,0.016,0.5089205058717254,0.09901408450704224,,
bit50__knn,bit50,knn,Viral Exanthem,viral_exanthem,13,0.017333333333333333,0.625821939254775,0.035600863114699254,,
bit50__knn,bit50,knn,Lichen Simplex Chronicus,lichen_simplex_chronicus,11,0.014666666666666666,0.5378890392422193,0.02578787878787879,,
