model_id,encoder,classifier,target_positive_cases,k,metric,estimate,ci_95_lower,ci_95_upper
clip_vitb32__knn,clip_vitb32,knn,398,1,hit_rate,0.3869346733668342,,
clip_vitb32__knn,clip_vitb32,knn,398,1,recall_at_k,0.20531825795644892,,
clip_vitb32__knn,clip_vitb32,knn,398,1,precision_at_k,0.3869346733668342,,
clip_vitb32__knn,clip_vitb32,knn,398,3,hit_rate,0.678391959798995,,
clip_vitb32__knn,clip_vitb32,knn,398,3,recall_at_k,0.44221105527638194,,
clip_vitb32__knn,clip_vitb32,knn,398,3,precision_at_k,0.2981574539363484,,
clip_vitb32__knn,clip_vitb32,knn,398,5,hit_rate,0.7638190954773869,,
clip_vitb32__knn,clip_vitb32,knn,398,5,recall_at_k,0.5657453936348409,,
clip_vitb32__knn,clip_vitb32,knn,398,5,precision_at_k,0.22914572864321608,,
clip_vitb32__logistic,clip_vitb32,logistic,398,1,hit_rate,0.3241206030150754,,
clip_vitb32__logistic,clip_vitb32,logistic,398,1,recall_at_k,0.17319932998324958,,
clip_vitb32__logistic,clip_vitb32,logistic,398,1,precision_at_k,0.3241206030150754,,
clip_vitb32__logistic,clip_vitb32,logistic,398,3,hit_rate,0.6633165829145728,,
clip_vitb32__logistic,clip_vitb32,logistic,398,3,recall_at_k,0.45096314907872703,,
clip_vitb32__logistic,clip_vitb32,logistic,398,3,precision_at_k,0.2906197654941373,,
clip_vitb32__logistic,clip_vitb32,logistic,398,5,hit_rate,0.8140703517587939,,
clip_vitb32__logistic,clip_vitb32,logistic,398,5,recall_at_k,0.624036850921273,,
clip_vitb32__logistic,clip_vitb32,logistic,398,5,precision_at_k,0.24924623115577893,,
clip_vitb32__mil,clip_vitb32,mil,398,1,hit_rate,0.2135678391959799,,
clip_vitb32__mil,clip_vitb32,mil,398,1,recall_at_k,0.12223618090452261,,
clip_vitb32__mil,clip_vitb32,mil,398,1,precision_at_k,0.2135678391959799,,
clip_vitb32__mil,clip_vitb32,mil,398,3,hit_rate,0.5100502512562815,,
clip_vitb32__mil,clip_vitb32,mil,398,3,recall_at_k,0.3420854271356784,,
clip_vitb32__mil,clip_vitb32,mil,398,3,precision_at_k,0.20519262981574538,,
clip_vitb32__mil,clip_vitb32,mil,398,5,hit_rate,0.6733668341708543,,
clip_vitb32__mil,clip_vitb32,mil,398,5,recall_at_k,0.47851758793969845,,
clip_vitb32__mil,clip_vitb32,mil,398,5,precision_at_k,0.18241206030150753,,
clip_vitb32__random_forest,clip_vitb32,random_forest,398,1,hit_rate,0.5025125628140703,,
clip_vitb32__random_forest,clip_vitb32,random_forest,398,1,recall_at_k,0.2608040201005025,,
clip_vitb32__random_forest,clip_vitb32,random_forest,398,1,precision_at_k,0.5025125628140703,,
clip_vitb32__random_forest,clip_vitb32,random_forest,398,3,hit_rate,0.7914572864321608,,
clip_vitb32__random_forest,clip_vitb32,random_forest,398,3,recall_at_k,0.5619765494137354,,
clip_vitb32__random_forest,clip_vitb32,random_forest,398,3,precision_at_k,0.3693467336683417,,
clip_vitb32__random_forest,clip_vitb32,random_forest,398,5,hit_rate,0.864321608040201,,
clip_vitb32__random_forest,clip_vitb32,random_forest,398,5,recall_at_k,0.7057788944723618,,
clip_vitb32__random_forest,clip_vitb32,random_forest,398,5,precision_at_k,0.2814070351758794,,
clip_vitb32__svm_linear,clip_vitb32,svm_linear,398,1,hit_rate,0.45226130653266333,,
clip_vitb32__svm_linear,clip_vitb32,svm_linear,398,1,recall_at_k,0.22479061976549414,,
clip_vitb32__svm_linear,clip_vitb32,svm_linear,398,1,precision_at_k,0.45226130653266333,,
clip_vitb32__svm_linear,clip_vitb32,svm_linear,398,3,hit_rate,0.7286432160804021,,
clip_vitb32__svm_linear,clip_vitb32,svm_linear,398,3,recall_at_k,0.48463149078726964,,
clip_vitb32__svm_linear,clip_vitb32,svm_linear,398,3,precision_at_k,0.3274706867671691,,
clip_vitb32__svm_linear,clip_vitb32,svm_linear,398,5,hit_rate,0.7839195979899497,,
clip_vitb32__svm_linear,clip_vitb32,svm_linear,398,5,recall_at_k,0.6266331658291456,,
clip_vitb32__svm_linear,clip_vitb32,svm_linear,398,5,precision_at_k,0.25577889447236185,,
derm_foundation__gradient_boosting,derm_foundation,gradient_boosting,398,1,hit_rate,0.5477386934673367,,
derm_foundation__gradient_boosting,derm_foundation,gradient_boosting,398,1,recall_at_k,0.3156616415410385,,
derm_foundation__gradient_boosting,derm_foundation,gradient_boosting,398,1,precision_at_k,0.5477386934673367,,
derm_foundation__gradient_boosting,derm_foundation,gradient_boosting,398,3,hit_rate,0.8015075376884422,,
derm_foundation__gradient_boosting,derm_foundation,gradient_boosting,398,3,recall_at_k,0.583961474036851,,
derm_foundation__gradient_boosting,derm_foundation,gradient_boosting,398,3,precision_at_k,0.38190954773869346,,
derm_foundation__gradient_boosting,derm_foundation,gradient_boosting,398,5,hit_rate,0.8743718592964824,,
derm_foundation__gradient_boosting,derm_foundation,gradient_boosting,398,5,recall_at_k,0.7148659966499162,,
derm_foundation__gradient_boosting,derm_foundation,gradient_boosting,398,5,precision_at_k,0.285427135678392,,
derm_foundation__knn,derm_foundation,knn,398,1,hit_rate,0.507537688442211,,
derm_foundation__knn,derm_foundation,knn,398,1,recall_at_k,0.27872696817420434,,
derm_foundation__knn,derm_foundation,knn,398,1,precision_at_k,0.507537688442211,,
derm_foundation__knn,derm_foundation,knn,398,3,hit_rate,0.7788944723618091,,
derm_foundation__knn,derm_foundation,knn,398,3,recall_at_k,0.5456867671691792,,
derm_foundation__knn,derm_foundation,knn,398,3,precision_at_k,0.3492462311557789,,
derm_foundation__knn,derm_foundation,knn,398,5,hit_rate,0.8492462311557789,,
derm_foundation__knn,derm_foundation,knn,398,5,recall_at_k,0.6634003350083751,,
derm_foundation__knn,derm_foundation,knn,398,5,precision_at_k,0.2618090452261307,,
derm_foundation__logistic,derm_foundation,logistic,398,1,hit_rate,0.45979899497487436,,
derm_foundation__logistic,derm_foundation,logistic,398,1,recall_at_k,0.2543132328308208,,
derm_foundation__logistic,derm_foundation,logistic,398,1,precision_at_k,0.45979899497487436,,
derm_foundation__logistic,derm_foundation,logistic,398,3,hit_rate,0.7286432160804021,,
derm_foundation__logistic,derm_foundation,logistic,398,3,recall_at_k,0.5038525963149079,,
derm_foundation__logistic,derm_foundation,logistic,398,3,precision_at_k,0.32077051926298156,,
derm_foundation__logistic,derm_foundation,logistic,398,5,hit_rate,0.8291457286432161,,
derm_foundation__logistic,derm_foundation,logistic,398,5,recall_at_k,0.6450167504187604,,
derm_foundation__logistic,derm_foundation,logistic,398,5,precision_at_k,0.25025125628140704,,
derm_foundation__mil,derm_foundation,mil,398,1,hit_rate,0.3693467336683417,0.32160804020100503,0.41708542713567837
derm_foundation__mil,derm_foundation,mil,398,1,recall_at_k,0.22721943048576212,0.19416561976549412,0.2613159547738694
derm_foundation__mil,derm_foundation,mil,398,1,precision_at_k,0.3693467336683417,0.32160804020100503,0.41708542713567837
derm_foundation__mil,derm_foundation,mil,398,3,hit_rate,0.6934673366834171,0.6482412060301508,0.7386934673366834
derm_foundation__mil,derm_foundation,mil,398,3,recall_at_k,0.47148241206030145,0.42997801507537686,0.5106030150753769
derm_foundation__mil,derm_foundation,mil,398,3,precision_at_k,0.2822445561139028,0.25961055276381906,0.30402010050251255
derm_foundation__mil,derm_foundation,mil,398,5,hit_rate,0.8391959798994975,0.7989949748743719,0.8743718592964824
derm_foundation__mil,derm_foundation,mil,398,5,recall_at_k,0.658500837520938,0.62017797319933,0.6954376046901173
derm_foundation__mil,derm_foundation,mil,398,5,precision_at_k,0.24723618090452262,0.22913316582914572,0.2638190954773869
derm_foundation__random_forest,derm_foundation,random_forest,398,1,hit_rate,0.6180904522613065,0.5703517587939698,0.6683417085427136
derm_foundation__random_forest,derm_foundation,random_forest,398,1,recall_at_k,0.3506281407035176,0.31707495812395314,0.38827889447236175
derm_foundation__random_forest,derm_foundation,random_forest,398,1,precision_at_k,0.6180904522613065,0.5703517587939698,0.6683417085427136
derm_foundation__random_forest,derm_foundation,random_forest,398,3,hit_rate,0.8417085427135679,0.8064698492462311,0.8768844221105527
derm_foundation__random_forest,derm_foundation,random_forest,398,3,recall_at_k,0.6419597989949749,0.6075376884422111,0.6784526800670017
derm_foundation__random_forest,derm_foundation,random_forest,398,3,precision_at_k,0.41708542713567837,0.39195979899497485,0.4422319932998325
derm_foundation__random_forest,derm_foundation,random_forest,398,5,hit_rate,0.907035175879397,0.8793969849246231,0.9346733668341709
derm_foundation__random_forest,derm_foundation,random_forest,398,5,recall_at_k,0.7705192629815745,0.7412039363484088,0.8006375628140704
derm_foundation__random_forest,derm_foundation,random_forest,398,5,precision_at_k,0.30552763819095485,0.28793969849246237,0.3226130653266332
derm_foundation__svm_linear,derm_foundation,svm_linear,398,1,hit_rate,0.43467336683417085,,
derm_foundation__svm_linear,derm_foundation,svm_linear,398,1,recall_at_k,0.21599664991624792,,
derm_foundation__svm_linear,derm_foundation,svm_linear,398,1,precision_at_k,0.43467336683417085,,
derm_foundation__svm_linear,derm_foundation,svm_linear,398,3,hit_rate,0.7286432160804021,,
derm_foundation__svm_linear,derm_foundation,svm_linear,398,3,recall_at_k,0.5003350083752094,,
derm_foundation__svm_linear,derm_foundation,svm_linear,398,3,precision_at_k,0.3316582914572864,,
derm_foundation__svm_linear,derm_foundation,svm_linear,398,5,hit_rate,0.7989949748743719,,
derm_foundation__svm_linear,derm_foundation,svm_linear,398,5,recall_at_k,0.633500837520938,,
derm_foundation__svm_linear,derm_foundation,svm_linear,398,5,precision_at_k,0.25125628140703515,,
inception_v3__gradient_boosting,inception_v3,gradient_boosting,398,1,hit_rate,0.2964824120603015,,
