split,subset_accuracy,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,auc_micro,auc_macro,auc_weighted,pr_auc_micro,pr_auc_macro,label_ranking_average_precision,coverage_error,ranking_loss,top1_hit,top3_hit,top5_hit,brier_macro,ece_macro
train,0.07976156684643769,0.22234857553267895,0.9877692103164052,0.36298793297181103,0.2038181760350786,0.996923173303417,0.335514029235658,0.9658233106632576,0.9704963412228448,0.9217503780161409,0.5029126878382023,0.5838042886785251,0.8938232959915481,1.6349701958558047,0.016835419513904996,0.7253634894991923,0.9574582660204631,0.9946149703823371,0.10100140338626237,0.21435853300086247
validation,0.08344370860927153,0.22287636669470143,0.9875776397515528,0.3636779505946935,0.20604435689849349,0.9971616496231216,0.3380102542142117,0.9659615642412015,0.9708141055054014,0.9221743566757017,0.49794507315134534,0.6021010824548153,0.8942134973194579,1.623841059602649,0.016916814390240974,0.7268170426065163,0.9598997493734336,0.9924812030075187,0.10048316169203023,0.21366784060275223
test,0.06490066225165562,0.17684797768479776,0.7866004962779156,0.2887724891824186,0.14766271805048053,0.6937498614867189,0.2416158128482843,0.8796378769720207,0.8443572493706603,0.8124301811772522,0.2547177508959831,0.2678030899383119,0.7910560433013772,3.0423841059602648,0.05780117387676452,0.4875,0.8225,0.9075,0.1113193723999641,0.21542739175209494
