encoder,classifier,split,subset_accuracy,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,auc_micro,auc_macro,pr_auc_micro,pr_auc_macro,brier_macro,ece_macro
siglip2_so400m,knn,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.782643918292689e-16,1.6804570477914252e-08
siglip2_so400m,knn,validation,0.0,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.04,0.04,0.04,0.5117845117845118,0.5,0.129753563753364,0.5555555555555556,0.15079297972619532,0.23624486356006172
siglip2_so400m,knn,test,0.0,0.3333333333333333,0.08,0.12903225806451613,0.05333333333333333,0.06,0.055999999999999994,0.57008,0.5738095238095238,0.21281990044986812,0.4297619047619047,0.16122918131250782,0.21173438809997458
