model_id,encoder,classifier,model_family,prediction_path,cases,source_revision
inception_v3__gradient_boosting,inception_v3,gradient_boosting,classical_case_aggregated,outputs/raw_predictions/classical_case_aggregated/inception_v3/gradient_boosting.csv,750,2b407de6256378d4201ff5f8c06c50345f30e2f8
inception_v3__knn,inception_v3,knn,classical_case_aggregated,outputs/raw_predictions/classical_case_aggregated/inception_v3/knn.csv,750,2b407de6256378d4201ff5f8c06c50345f30e2f8
inception_v3__logistic,inception_v3,logistic,classical_case_aggregated,outputs/raw_predictions/classical_case_aggregated/inception_v3/logistic.csv,750,2b407de6256378d4201ff5f8c06c50345f30e2f8
inception_v3__mil,inception_v3,mil,mil_probability_ensemble,outputs/raw_predictions/mil_probability_ensembles/inception_v3.csv,750,2b407de6256378d4201ff5f8c06c50345f30e2f8
inception_v3__random_forest,inception_v3,random_forest,classical_case_aggregated,outputs/raw_predictions/classical_case_aggregated/inception_v3/random_forest.csv,750,2b407de6256378d4201ff5f8c06c50345f30e2f8
inception_v3__svm_linear,inception_v3,svm_linear,classical_case_aggregated,outputs/raw_predictions/classical_case_aggregated/inception_v3/svm_linear.csv,750,2b407de6256378d4201ff5f8c06c50345f30e2f8
resnet50__gradient_boosting,resnet50,gradient_boosting,classical_case_aggregated,outputs/raw_predictions/classical_case_aggregated/resnet50/gradient_boosting.csv,750,2b407de6256378d4201ff5f8c06c50345f30e2f8
resnet50__knn,resnet50,knn,classical_case_aggregated,outputs/raw_predictions/classical_case_aggregated/resnet50/knn.csv,750,2b407de6256378d4201ff5f8c06c50345f30e2f8
resnet50__logistic,resnet50,logistic,classical_case_aggregated,outputs/raw_predictions/classical_case_aggregated/resnet50/logistic.csv,750,2b407de6256378d4201ff5f8c06c50345f30e2f8
resnet50__mil,resnet50,mil,mil_probability_ensemble,outputs/raw_predictions/mil_probability_ensembles/resnet50.csv,750,2b407de6256378d4201ff5f8c06c50345f30e2f8
resnet50__random_forest,resnet50,random_forest,classical_case_aggregated,outputs/raw_predictions/classical_case_aggregated/resnet50/random_forest.csv,750,2b407de6256378d4201ff5f8c06c50345f30e2f8
resnet50__svm_linear,resnet50,svm_linear,classical_case_aggregated,outputs/raw_predictions/classical_case_aggregated/resnet50/svm_linear.csv,750,2b407de6256378d4201ff5f8c06c50345f30e2f8
siglip2_so400m__gradient_boosting,siglip2_so400m,gradient_boosting,classical_case_aggregated,outputs/raw_predictions/classical_case_aggregated/siglip2_so400m/gradient_boosting.csv,750,2b407de6256378d4201ff5f8c06c50345f30e2f8
siglip2_so400m__knn,siglip2_so400m,knn,classical_case_aggregated,outputs/raw_predictions/classical_case_aggregated/siglip2_so400m/knn.csv,750,2b407de6256378d4201ff5f8c06c50345f30e2f8
siglip2_so400m__logistic,siglip2_so400m,logistic,classical_case_aggregated,outputs/raw_predictions/classical_case_aggregated/siglip2_so400m/logistic.csv,750,2b407de6256378d4201ff5f8c06c50345f30e2f8
siglip2_so400m__mil,siglip2_so400m,mil,mil_probability_ensemble,outputs/raw_predictions/mil_probability_ensembles/siglip2_so400m.csv,750,canonical_local_ten_seed_ensemble
siglip2_so400m__random_forest,siglip2_so400m,random_forest,classical_case_aggregated,outputs/raw_predictions/classical_case_aggregated/siglip2_so400m/random_forest.csv,750,2b407de6256378d4201ff5f8c06c50345f30e2f8
siglip2_so400m__svm_linear,siglip2_so400m,svm_linear,classical_case_aggregated,outputs/raw_predictions/classical_case_aggregated/siglip2_so400m/svm_linear.csv,750,2b407de6256378d4201ff5f8c06c50345f30e2f8
vit_base__gradient_boosting,vit_base,gradient_boosting,classical_case_aggregated,outputs/raw_predictions/classical_case_aggregated/vit_base/gradient_boosting.csv,750,2b407de6256378d4201ff5f8c06c50345f30e2f8
vit_base__knn,vit_base,knn,classical_case_aggregated,outputs/raw_predictions/classical_case_aggregated/vit_base/knn.csv,750,2b407de6256378d4201ff5f8c06c50345f30e2f8
vit_base__logistic,vit_base,logistic,classical_case_aggregated,outputs/raw_predictions/classical_case_aggregated/vit_base/logistic.csv,750,2b407de6256378d4201ff5f8c06c50345f30e2f8
vit_base__mil,vit_base,mil,mil_probability_ensemble,outputs/raw_predictions/mil_probability_ensembles/vit_base.csv,750,2b407de6256378d4201ff5f8c06c50345f30e2f8
vit_base__random_forest,vit_base,random_forest,classical_case_aggregated,outputs/raw_predictions/classical_case_aggregated/vit_base/random_forest.csv,750,2b407de6256378d4201ff5f8c06c50345f30e2f8
vit_base__svm_linear,vit_base,svm_linear,classical_case_aggregated,outputs/raw_predictions/classical_case_aggregated/vit_base/svm_linear.csv,750,2b407de6256378d4201ff5f8c06c50345f30e2f8
