encoder,classifier,split,subset_accuracy,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,auc_micro,auc_macro,pr_auc_micro,pr_auc_macro,brier_macro,ece_macro
inception_v3,svm_linear,train,0.0,0.4666666666666667,0.14583333333333334,0.2222222222222222,0.08,0.07428571428571429,0.07692307692307693,0.696867681498829,0.5834780578898225,0.27200065720683886,0.5051715308255555,0.09879694436217477,0.1751777381053863
inception_v3,svm_linear,validation,0.0,1.0,0.1111111111111111,0.2,0.04,0.04,0.04,0.4730639730639731,0.6111111111111112,0.22858907656701774,0.6851851851851851,0.12290202499704085,0.21790753323176137
inception_v3,svm_linear,test,0.0,0.25,0.04,0.06896551724137931,0.01,0.02,0.013333333333333332,0.5078400000000001,0.32976190476190476,0.1838435651236131,0.3277777777777778,0.1522948686211565,0.14498907006034048
