job_id,machine,agent,command,git_commit,config_sha256,dataset_sha256,split_sha256,started_at,finished_at,status,artifact_revision,notes
train_classical-20260918T172732-33254d89,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder resnet50 --classifier svm_linear --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,86b6666a96229475e590f3e2d971ce32b45c922f3cfc7ded14c12f9fbead2a09,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T11:57:32.715657+00:00,2026-09-18T11:57:35.030615+00:00,complete,120ee3f77a0425819d0259c53ae53c1f8ed405ea332637d7abc3f3636a94dab2,
train_classical-20260918T172736-b72672fb,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder resnet50 --classifier random_forest --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,65ac5486be628388c4ee48c8b45afbb923285a628e9ad6b8816d7355c3ba1680,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T11:57:36.420856+00:00,2026-09-18T11:57:47.201799+00:00,complete,9c4af083d680cf13fdbee4f132107086533df75b9d723421bce797a997ed55eb,
train_classical-20260918T172748-46428103,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder resnet50 --classifier gradient_boosting --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,253407f61c17eaf6bbd85625d2b5f5eaba3de5b3e5fdff32b3b3f0df2ba34f10,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T11:57:48.590952+00:00,2026-09-18T11:58:01.911793+00:00,complete,a84fe828b43e5d0200ac39d7975405bdc1fe2f59063c0a1c95cf76054c04b4fa,
train_classical-20260918T172803-40ccb2dd,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder resnet50 --classifier knn --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,7c999b39d3682ab4f82bc4ee1c3c37e1d5e87357c1bb3bad1cd37fb079e270b2,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T11:58:03.291669+00:00,2026-09-18T11:58:06.039080+00:00,complete,f7d51f51a4d02c7e9f028f1b338a6b3f3b00fce1f3f36dc1dd5dd14cf2ac0ccb,
train_classical-20260918T172807-b737972d,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder inception_v3 --classifier logistic --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,456fef3ba405552be600ff4d9315e59dc5ccb960aae26732cd340caaf63f1708,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T11:58:07.386710+00:00,2026-09-18T11:58:09.386988+00:00,complete,ca325bc3daafb15e04696b537b9d0d38be0e9b61c338df805dd4f4d26f245b6d,
train_classical-20260918T172810-02be83ca,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder inception_v3 --classifier svm_linear --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,b739a38056a51e1479f3323901fe3eb9fa2d60d00b7979e4f8c38c9de18c3a91,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T11:58:10.712400+00:00,2026-09-18T11:58:12.996300+00:00,complete,d64137f3e4b03a8fba68f630e15d3cd01157c65dab98badce588d7e7220e2966,
train_classical-20260918T172814-28099124,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder inception_v3 --classifier random_forest --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,b9d21c3005ab226b74563fc4367d4dcdb2ed7fc6a05d1385f3954292f3d7906a,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T11:58:14.375292+00:00,2026-09-18T11:58:25.079742+00:00,complete,f195f66cc4ecac3d50caac0c0fa339ecbd94f327466498a9ae7d48dc0e2d00a5,
train_classical-20260918T172826-ad6af6ed,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder inception_v3 --classifier gradient_boosting --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,ea0b9e16a64db6495e87b0d29f67d9eb484b14f6e974d03fec1ec8892bc513c6,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T11:58:26.474189+00:00,2026-09-18T11:58:48.920280+00:00,complete,1b9937de1ce363fc2acada3e75907f7b19ae830712f76a0c336c3bc30476f4aa,
train_classical-20260918T172850-2da0220b,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder inception_v3 --classifier knn --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,f17323653afa0dae12d7a59747ba1d389626f25ce9aa814f180bc977a09ed7cc,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T11:58:50.317390+00:00,2026-09-18T11:58:53.024191+00:00,complete,b71f8b1ddccdb3d177fba26e08961901b0fe7c5c7a03f214979b42db36e7e7ce,
train_classical-20260918T172854-35a452d8,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder bit50 --classifier logistic --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,7552a6a36efd8c3c80fd8afbe0ed16130aeef2a2595d1c5e706710d86a574765,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T11:58:54.396362+00:00,2026-09-18T11:58:56.485859+00:00,complete,d267a33744c8fa42e7a48e8403fb2604b626a17fcdd674c75bb59d562a055df6,
train_classical-20260918T172857-373ca116,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder bit50 --classifier svm_linear --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,f957f14bd6cd90ed0558230c4169b2671a597e5ab61d247dde6ba439ce359e79,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T11:58:57.892615+00:00,2026-09-18T11:59:00.139974+00:00,complete,dbe640a978c909687aa6621da3bfe008c53b29b4b66f75476fbd01f3f3415c0f,
train_classical-20260918T172901-2cee775e,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder bit50 --classifier random_forest --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,dbd7b3b69582c97a5a63e83f495b6b41f5ad4969762beef15fa7c4a6fa087724,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T11:59:01.451127+00:00,2026-09-18T11:59:11.992977+00:00,complete,dcba01da38ff6ec779bb2bcbad32406ffe94e7ed6c2576fe1a2865109d749395,
