model,split,variant,cases,macro_ap,micro_ap,macro_roc_auc,micro_roc_auc
siglip2_mil,validation_oof,original,754,0.2824290746703943,0.2659834422431527,0.8544494388641689,0.8825238900256558
siglip2_mil,validation_oof,calibrated,754,0.2772905609990667,0.2702257964983126,0.8526191838591393,0.8846813808603
siglip2_mil,locked_test,original,750,0.27915305481032765,0.2630899194843987,0.842474179501167,0.8785133630981108
siglip2_mil,locked_test,calibrated,750,0.27915305481032765,0.273146554572327,0.842474179501167,0.8813694966381224
siglip2_rf,validation_oof,original,754,0.24264395151169815,0.2822911112634025,0.8331861147747273,0.8753573647886029
siglip2_rf,validation_oof,calibrated,754,0.2367158979636276,0.2826445567723959,0.8283110227144792,0.8748306221855369
siglip2_rf,locked_test,original,750,0.2606302538364824,0.30894691434537125,0.8333540289371315,0.8768746650664565
siglip2_rf,locked_test,calibrated,750,0.2606302538364824,0.31335646813038504,0.8333540289371315,0.8785961098546633
