encoder,seed,split,subset_accuracy,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,auc_micro,auc_macro,pr_auc_micro,pr_auc_macro,brier_macro,ece_macro
inception_v3,42,train,0.0,0.0667837822765043,0.6361221779548473,0.1208771797007091,0.0712600273743172,0.762108829075216,0.1179479136277253,0.672664874482652,0.7570135411864051,0.0806806722950181,0.1248171853739027,0.2301021944663003,0.4065512979503712
inception_v3,42,validation,0.0,0.0636574074074074,0.6156716417910447,0.1153846153846153,0.068910269426261,0.6870410554396524,0.1120635301818517,0.6412840485591548,0.6913512604084326,0.0640934226961396,0.0978476065136605,0.2326401333563987,0.4079397817647371
inception_v3,42,test,0.0,0.0636709026595047,0.6052303860523038,0.1152204836415362,0.0671044620957362,0.6737111679859935,0.1104540451107481,0.6400730849885171,0.6835257244050592,0.0657182108099776,0.0983542694795076,0.2310309150547272,0.4064828496711577
inception_v3,43,train,0.0036837631056956,0.0770042521493528,0.6589641434262948,0.137894619831036,0.0763696527034639,0.7213276183829624,0.1278170591773341,0.7104377014005704,0.7612169667881483,0.0852957608041327,0.1248483404540679,0.2115657956705327,0.3785695161442174
inception_v3,43,validation,0.0013262599469496,0.0701982920827905,0.6032338308457711,0.1257617010242447,0.0694533647726246,0.6202505941829033,0.1146132102713786,0.6745646008018205,0.6896291899422625,0.0677243472379787,0.0989660253787617,0.2141484749263172,0.3794177176782166
inception_v3,43,test,0.0,0.0698315911730545,0.5990037359900373,0.1250812638148485,0.0681469335607698,0.6118273141667888,0.1126875015084481,0.6737666621956818,0.6894376387166807,0.0694183286577154,0.0980247380632613,0.2139212832898701,0.3795167237559519
inception_v3,44,train,0.0,0.0700540666240334,0.6401062416998672,0.1262871066628239,0.0713329884077649,0.7185250494721521,0.120338202213395,0.6830960379808416,0.738817028763249,0.0763887531143427,0.1086922968968668,0.2185930712872849,0.3942313235492986
inception_v3,44,validation,0.0,0.0643659271432484,0.5845771144278606,0.1159634838391315,0.0633197974632555,0.6113831078046265,0.1062322099618243,0.6532436730235556,0.6774756687215358,0.0640653685588804,0.0913871468992033,0.2192631481202819,0.3940812611029994
inception_v3,44,test,0.0,0.0658609451385116,0.6039850560398505,0.1187706624219419,0.0637053153956736,0.6080462662705252,0.1063487548793906,0.6547682497537893,0.6726361012799009,0.0650285654834212,0.0940685821843251,0.219185398638161,0.393522546535184
inception_v3,45,train,0.0,0.0805994765336488,0.5970783532536521,0.1420267879706848,0.0790930680878438,0.5778738821500281,0.1248784447644106,0.7146995552402435,0.728878170857246,0.0834600534433528,0.102597839900259,0.1951786619491478,0.3628787324994962
inception_v3,45,validation,0.0013262599469496,0.0753768844221105,0.5597014925373134,0.1328609388839681,0.0726459536281935,0.5160278115288607,0.1138245633807709,0.6875582397775061,0.6664354256166599,0.0736317847218172,0.0914286544425005,0.196659609734438,0.3637179691845733
inception_v3,45,test,0.0,0.075765178123432,0.564134495641345,0.1335889118254202,0.0627892072847318,0.4956724498176346,0.104552276902342,0.6856759154063775,0.6606570227795704,0.0733350374084128,0.0855346114341514,0.196465002693067,0.3629036126593997
inception_v3,46,train,0.0,0.0648197009674582,0.7830013280212483,0.1197278911564625,0.0629754714884536,0.7594656235950252,0.1098305493000671,0.6966308198416374,0.7070416469146675,0.0837355362090823,0.0922807111954087,0.2442037920448701,0.4361765177474355
inception_v3,46,validation,0.0,0.0624235006119951,0.7611940298507462,0.1153846153846153,0.0564547698966277,0.7142734622212721,0.099243143448785,0.6768066943901794,0.662345392543256,0.0772545063800842,0.090377439196693,0.2455749487975133,0.4370392044612382
inception_v3,46,test,0.0,0.0627687896784763,0.763387297633873,0.1159996215346768,0.0568508567041465,0.6890293558538986,0.099177445553164,0.6753105397302046,0.6560291196966506,0.0775608472535999,0.0842496802552417,0.2454632768703732,0.4369501967531441
inception_v3,47,train,0.0,0.0704253763332408,0.7418326693227092,0.128638540899042,0.0661824896668981,0.7738877473874094,0.1145259101007272,0.7085983888268852,0.7413333679762054,0.0868575321500295,0.1128173525543261,0.2363803828819072,0.4167414996188348
inception_v3,47,validation,0.0,0.0645047998126902,0.6853233830845771,0.1179114059490691,0.0616170880097206,0.6774752092160164,0.1049182171499062,0.6669066903650869,0.6653398434741064,0.0707307884650019,0.0902474953113499,0.2393152716040506,0.4185181377793844
