photos,group,cases,target_positive_cases,positive_case_label_pairs,pooled_prevalence,comparison,metric,estimate,ci_95_lower,ci_95_upper,evaluable_labels
1,one_photo,278,124,234,0.03366906474820144,siglip2_mil_ensemble,macro_roc_auc,0.8634985618181154,0.8384389169675557,0.891097307505714,23
1,one_photo,278,124,234,0.03366906474820144,siglip2_mil_ensemble,micro_roc_auc,0.8910370947297689,0.8732203726985581,0.9090048665336323,23
1,one_photo,278,124,234,0.03366906474820144,siglip2_mil_ensemble,macro_ap,0.29250630774872544,0.2677670512186438,0.3972891230040197,23
1,one_photo,278,124,234,0.03366906474820144,siglip2_mil_ensemble,micro_ap,0.2444624795787839,0.19240603580194657,0.31089845704113933,23
1,one_photo,278,124,234,0.03366906474820144,siglip2_random_forest,macro_roc_auc,0.8403024384574493,0.8113151214493329,0.8694842796512388,23
1,one_photo,278,124,234,0.03366906474820144,siglip2_random_forest,micro_roc_auc,0.8776563048823323,0.8574280225577311,0.8966911050508253,23
1,one_photo,278,124,234,0.03366906474820144,siglip2_random_forest,macro_ap,0.2513904417411155,0.2215771367660164,0.3394293103449855,23
1,one_photo,278,124,234,0.03366906474820144,siglip2_random_forest,micro_ap,0.24372238527522908,0.19714426377878705,0.3016236825417898,23
1,one_photo,278,124,234,0.03366906474820144,mil_minus_rf,macro_roc_auc,0.02319612336066601,0.006669383537584267,0.041642797271650274,23
1,one_photo,278,124,234,0.03366906474820144,mil_minus_rf,micro_roc_auc,0.013380789847436625,-0.0007142806260437923,0.027683726928257102,23
1,one_photo,278,124,234,0.03366906474820144,mil_minus_rf,macro_ap,0.041115866007609914,0.004622673586957402,0.1049402790724957,23
1,one_photo,278,124,234,0.03366906474820144,mil_minus_rf,micro_ap,0.0007400943035548169,-0.04836581819363964,0.05698348582850038,23
2,two_photos,127,76,147,0.0462992125984252,siglip2_mil_ensemble,macro_roc_auc,0.8566839200306738,0.8090574629634238,0.8836742945646419,23
2,two_photos,127,76,147,0.0462992125984252,siglip2_mil_ensemble,micro_roc_auc,0.8712886079134428,0.8422496134630175,0.8990990271344428,23
2,two_photos,127,76,147,0.0462992125984252,siglip2_mil_ensemble,macro_ap,0.43216323819549773,0.36680196823618744,0.5282612473664371,23
2,two_photos,127,76,147,0.0462992125984252,siglip2_mil_ensemble,micro_ap,0.26929633306522854,0.2069410205972892,0.3504181894920956,23
2,two_photos,127,76,147,0.0462992125984252,siglip2_random_forest,macro_roc_auc,0.8585841068763692,0.8170429981055659,0.883136032718854,23
2,two_photos,127,76,147,0.0462992125984252,siglip2_random_forest,micro_roc_auc,0.8887110326296965,0.8670299751315697,0.9103344399332834,23
2,two_photos,127,76,147,0.0462992125984252,siglip2_random_forest,macro_ap,0.37456834916409365,0.33502512739453244,0.48192672921939345,23
2,two_photos,127,76,147,0.0462992125984252,siglip2_random_forest,micro_ap,0.3091251430917177,0.24597293518875624,0.3875120123547085,23
2,two_photos,127,76,147,0.0462992125984252,mil_minus_rf,macro_roc_auc,-0.001900186845695373,-0.03160469738053997,0.02277282103123918,23
2,two_photos,127,76,147,0.0462992125984252,mil_minus_rf,micro_roc_auc,-0.01742242471625377,-0.037268259324418115,0.0013564299640780736,23
2,two_photos,127,76,147,0.0462992125984252,mil_minus_rf,macro_ap,0.057594889031404084,-0.03165018194972904,0.10082234650424247,23
2,two_photos,127,76,147,0.0462992125984252,mil_minus_rf,micro_ap,-0.039828810026489136,-0.10799308121137256,0.029799870431517862,23
3,three_photos,345,198,422,0.04892753623188406,siglip2_mil_ensemble,macro_roc_auc,0.8312642606059077,0.799017297555248,0.8615841909573455,25
3,three_photos,345,198,422,0.04892753623188406,siglip2_mil_ensemble,micro_roc_auc,0.8729325706177314,0.8552512634820618,0.8903618152705531,25
3,three_photos,345,198,422,0.04892753623188406,siglip2_mil_ensemble,macro_ap,0.3197265682689713,0.28530420273894264,0.3990589626282182,25
3,three_photos,345,198,422,0.04892753623188406,siglip2_mil_ensemble,micro_ap,0.2812628366578433,0.2412233083062211,0.32954884530349526,25
3,three_photos,345,198,422,0.04892753623188406,siglip2_random_forest,macro_roc_auc,0.8260561296993465,0.7959840482761738,0.855490618973909,25
3,three_photos,345,198,422,0.04892753623188406,siglip2_random_forest,micro_roc_auc,0.8720101823803914,0.8540194328228475,0.8895737108227497,25
3,three_photos,345,198,422,0.04892753623188406,siglip2_random_forest,macro_ap,0.319408636829781,0.28964520849023545,0.39033923147980387,25
3,three_photos,345,198,422,0.04892753623188406,siglip2_random_forest,micro_ap,0.3669538519264651,0.3194001458586464,0.41820780893039133,25
3,three_photos,345,198,422,0.04892753623188406,mil_minus_rf,macro_roc_auc,0.005208130906561248,-0.01095533456770136,0.021395425941233278,25
3,three_photos,345,198,422,0.04892753623188406,mil_minus_rf,micro_roc_auc,0.0009223882373400327,-0.010937592590480638,0.012653701998355492,25
3,three_photos,345,198,422,0.04892753623188406,mil_minus_rf,macro_ap,0.00031793143919028877,-0.046731091501151484,0.04425387998094179,25
3,three_photos,345,198,422,0.04892753623188406,mil_minus_rf,micro_ap,-0.08569101526862183,-0.13006007240149667,-0.03910969708298785,25
