encoder,classifier,split,subset_accuracy,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,auc_micro,auc_macro,pr_auc_micro,pr_auc_macro,brier_macro,ece_macro
siglip2_so400m,logistic,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0018157517751786322,0.03659555204481373
siglip2_so400m,logistic,validation,0.0,0.07692307692307693,0.2222222222222222,0.11428571428571428,0.04,0.08,0.05333333333333333,0.46801346801346805,0.3888888888888889,0.1295127546129952,0.574074074074074,0.32899209758630105,0.42877366084632357
siglip2_so400m,logistic,test,0.0,0.19607843137254902,0.4,0.2631578947368421,0.17,0.38,0.2253333333333333,0.58656,0.5190476190476191,0.23241478171108093,0.4626984126984127,0.2513784117134871,0.337774939578782
