label,positives,prevalence,mean_predicted_probability,ratio
Eczema,159,0.21059602649006623,0.5573237214735802,2.646411381839956
Allergic Contact Dermatitis,131,0.17350993377483442,0.5256775752104671,3.0296684678160513
Insect Bite,61,0.08079470198675497,0.4089179280032681,5.06119730561422
Urticaria,50,0.06622516556291391,0.3542296700304164,5.348868017459287
Psoriasis,46,0.060927152317880796,0.33734573179485877,5.536870163154747
Folliculitis,40,0.052980132450331126,0.2921175474540287,5.513718708194792
Irritant Contact Dermatitis,38,0.05033112582781457,0.3828003729078055,7.605638988036661
Tinea,31,0.04105960264900662,0.2940120363690649,7.160615724472388
Herpes Zoster,22,0.02913907284768212,0.19894516011033916,6.8274361765139115
Drug Rash,22,0.02913907284768212,0.26464487761320754,9.08213102718053
Herpes Simplex,21,0.02781456953642384,0.18278967598431572,6.5717240651503985
Impetigo,18,0.02384105960264901,0.22358450277471006,9.37812775527256
Acute Dermatitis NOS,18,0.02384105960264901,0.2824197223053208,11.845938352250956
Hypersensitivity,17,0.022516556291390728,0.2692467935978502,11.957725245080995
Acne,14,0.018543046357615896,0.1278782372421658,6.89629065127394
Pigmented Purpuric Eruption,14,0.018543046357615896,0.14891175501808726,8.030598217046848
Leukocytoclastic Vasculitis,15,0.019867549668874173,0.1572242557849975,7.91362087451154
Lichen Planus Lichenoid Eruption,13,0.017218543046357615,0.1595194462311472,9.264398608039702
Pityriasis Rosea,12,0.015894039735099338,0.1365729148758402,8.59271256093828
Viral Exanthem,12,0.015894039735099338,0.14946324582244044,9.403729216328545
Lichen Simplex Chronicus,12,0.015894039735099338,0.1551630716137464,9.76234325569821
Stasis Dermatitis,10,0.013245033112582781,0.11599292886301571,8.757466129157686
Keratosis Pilaris,9,0.011920529801324504,0.12439100848594889,10.4350234896546
CD - Contact Dermatitis,10,0.013245033112582781,0.2328304232869741,17.578696958166542
Scabies,10,0.013245033112582781,0.14981990893024463,11.31140312423347
