encoder,classifier,split,subset_accuracy,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,auc_micro,auc_macro,pr_auc_micro,pr_auc_macro,brier_macro,ece_macro
clip_vitb32,knn,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1178537188783407e-15,1.6569629404586313e-08
clip_vitb32,knn,validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5328282828282829,0.5277777777777778,0.152703081232493,0.574074074074074,0.13245720146941745,0.22193164634651477
clip_vitb32,knn,test,0.0,0.2,0.04,0.06666666666666667,0.02,0.02,0.02,0.5691200000000001,0.6023809523809525,0.19929206882572084,0.47619047619047616,0.15778301507188164,0.21053689540792078
