encoder,classifier,auc_macro,auc_micro
bit50,gradient_boosting,0.693242186834835,0.7855901779704056
bit50,knn,0.5889979064145314,0.7116241533376155
bit50,logistic,0.6905739298573386,0.7413295103522263
bit50,mil,0.710826338722604,0.6765750211932311
bit50,random_forest,0.7323337889791064,0.8189604009758634
bit50,svm_linear,0.6833515873554541,0.7870691418019893
clip_vitb32,gradient_boosting,0.76649274855262,0.8249765238604523
clip_vitb32,knn,0.6198896315999066,0.7279059741492887
clip_vitb32,logistic,0.7284337186100015,0.8082888102584606
clip_vitb32,mil,0.7740016191589392,0.7566093702912846
clip_vitb32,random_forest,0.7882640747444046,0.8502813840753329
clip_vitb32,svm_linear,0.7246747863838174,0.8129786951908555
derm_foundation,gradient_boosting,0.8152786534057822,0.8476200263387959
derm_foundation,knn,0.6932363900026676,0.7814562055244858
derm_foundation,logistic,0.7348754178052027,0.7668348015996457
derm_foundation,mil,0.8232516069134984,0.8120150962003037
derm_foundation,random_forest,0.8465170780474071,0.8863059564966472
derm_foundation,svm_linear,0.6993601055661159,0.7969867482370431
inception_v3,gradient_boosting,0.6564679780612935,0.7657566651384826
inception_v3,knn,0.5793556204615713,0.7048813855602643
inception_v3,logistic,0.6355753306655343,0.7037401395183174
inception_v3,mil,0.6756135973016031,0.6597071555856211
inception_v3,random_forest,0.685212071355265,0.7982379416465015
inception_v3,svm_linear,0.6348320645836707,0.7687829759702725
resnet50,gradient_boosting,0.6784756739240018,0.7744625259889
resnet50,knn,0.5679141718131386,0.6873231136289563
resnet50,logistic,0.6237083257673877,0.6836089118360891
resnet50,mil,0.681388128330705,0.6563202562464088
resnet50,random_forest,0.698547321523036,0.8034653855919058
resnet50,svm_linear,0.6022060615523259,0.7610316345187133
siglip2_so400m,gradient_boosting,0.792470064524795,0.844153128059852
siglip2_so400m,knn,0.6803323451409949,0.76935443166301
siglip2_so400m,logistic,0.7761429879713228,0.8336729477642104
siglip2_so400m,mil,0.8380142235366493,0.8737428154852223
siglip2_so400m,random_forest,0.8333594912741933,0.8768690445320492
siglip2_so400m,svm_linear,0.7682069867704269,0.8343270114348732
vit_base,gradient_boosting,0.7370641723551666,0.8029639437166624
vit_base,knn,0.6050207447679847,0.7127837181583714
vit_base,logistic,0.6822849771476257,0.7795993821853068
vit_base,mil,0.734985953549168,0.712405192513365
vit_base,random_forest,0.7507616403401142,0.8280059225167004
vit_base,svm_linear,0.6748618039557226,0.785831999728549
