encoder,split,label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece,accuracy
canonical,train,Eczema,0.59,739,2784,613,918,1866,126,0.8294993234100135,0.6702586206896551,0.7498789720498343,0.40039190071848463,0.8294993234100135,0.5400881057268723,0.831804687135458,0.5523099950840037,0.25615064521214875,0.3472869716053858,0.7036616520011354
canonical,train,Allergic Contact Dermatitis,0.6,611,2912,514,807,2105,97,0.8412438625204582,0.7228708791208791,0.7820573708206686,0.3890991672975019,0.8412438625204582,0.5320910973084886,0.8677893045988382,0.5583750593226974,0.2353499550371993,0.34944471004074046,0.7434005109281862
canonical,train,Insect Bite,0.54,282,3241,281,704,2537,1,0.9964539007092199,0.7827830916383832,0.8896184961738016,0.28527918781725886,0.9964539007092199,0.4435674822415154,0.9481214755099228,0.519639634006755,0.17065802046735798,0.32534951921314503,0.7998864604030655
canonical,train,Urticaria,0.56,232,3291,232,512,2779,0,1.0,0.8444241871771498,0.9222120935885749,0.3118279569892473,1.0,0.47540983606557374,0.971012898291055,0.6583259579838313,0.13546731763084247,0.2788617086661025,0.8546693159239285
canonical,train,Psoriasis,0.44,216,3307,216,824,2483,0,1.0,0.7508315693982461,0.8754157846991231,0.2076923076923077,1.0,0.34394904458598724,0.9677857854830941,0.598366522497324,0.12983621214612895,0.2731056093836926,0.7661084303150724
canonical,train,Folliculitis,0.43,188,3335,188,758,2577,0,1.0,0.7727136431784108,0.8863568215892055,0.19873150105708245,1.0,0.3315696649029982,0.9734457239465374,0.5878609196522508,0.11283902745670946,0.239264595154115,0.7848424638092535
canonical,train,Irritant Contact Dermatitis,0.47,174,3349,174,1032,2317,0,1.0,0.6918483129292327,0.8459241564646163,0.14427860696517414,1.0,0.25217391304347825,0.964944073200784,0.5543221906100554,0.1616338482659798,0.33054697254417287,0.7070678399091683
canonical,train,Tinea,0.36,144,3379,144,1038,2341,0,1.0,0.6928085232317254,0.8464042616158627,0.1218274111675127,1.0,0.2171945701357466,0.9779397257571274,0.5697697852712866,0.11914065197176092,0.2598978556290384,0.7053647459551519
canonical,train,Herpes Zoster,0.34,99,3424,99,596,2828,0,1.0,0.8259345794392523,0.9129672897196262,0.14244604316546763,1.0,0.24937027707808565,0.9916277258566978,0.6934941099818868,0.06692651963385854,0.17155576012604332,0.830826000567698
canonical,train,Drug Rash,0.37,104,3419,104,706,2713,0,1.0,0.7935068733547821,0.896753436677391,0.12839506172839507,1.0,0.2275711159737418,0.9896252840461673,0.633316507954004,0.09120587152452833,0.23115439691749753,0.7996026114107295
canonical,train,Herpes Simplex,0.31,99,3424,99,636,2788,0,1.0,0.8142523364485982,0.907126168224299,0.1346938775510204,1.0,0.23741007194244604,0.9947134900405928,0.8109312535921862,0.06259125271756139,0.15975855151937166,0.8194720408742548
canonical,train,Impetigo,0.35,85,3438,85,740,2698,0,1.0,0.7847585805700988,0.8923792902850494,0.10303030303030303,1.0,0.18681318681318682,0.9915648632926121,0.6342397934548996,0.08164970432926179,0.19920325699655086,0.7899517456713029
