encoder,split,label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece,accuracy
canonical,train,Acute Dermatitis NOS,0.41,87,3436,87,894,2542,0,1.0,0.739813736903376,0.869906868451688,0.08868501529051988,1.0,0.16292134831460675,0.9859566724204837,0.5171605958451243,0.11712536109579881,0.2513318821955633,0.7462390008515469
canonical,train,Hypersensitivity,0.43,79,3444,79,720,2724,0,1.0,0.7909407665505227,0.8954703832752613,0.09887359198998748,1.0,0.17995444191343962,0.9907231802878608,0.6252075989658052,0.10305584920443137,0.23547032911112634,0.7956287255180244
canonical,train,Acne,0.33,69,3454,69,306,3148,0,1.0,0.9114070642733063,0.9557035321366532,0.184,1.0,0.3108108108108108,0.9963075786947291,0.779571520473717,0.0388371126929439,0.1132273015226672,0.9131422083451604
canonical,train,Pigmented Purpuric Eruption,0.49,69,3454,69,228,3226,0,1.0,0.9339895773016792,0.9669947886508397,0.23232323232323232,1.0,0.3770491803278688,0.9950655824375015,0.6858541347737592,0.047230695528799306,0.12630944943798408,0.9352824297473744
canonical,train,Leukocytoclastic Vasculitis,0.23,69,3454,69,728,2726,0,1.0,0.7892298784018529,0.8946149392009264,0.08657465495608532,1.0,0.15935334872979215,0.996911793090137,0.7776405434307647,0.05232930143212468,0.13723476371585655,0.7933579335793358
canonical,train,Lichen Planus Lichenoid Eruption,0.17,62,3461,62,997,2464,0,1.0,0.7119329673504767,0.8559664836752383,0.05854579792256846,1.0,0.11061552185548618,0.9971572638897951,0.7882525003282856,0.051184468230315236,0.14560675499616785,0.717002554640931
canonical,train,Pityriasis Rosea,0.37,56,3467,56,292,3175,0,1.0,0.9157773291029708,0.9578886645514855,0.16091954022988506,1.0,0.27722772277227725,0.9966160534014586,0.7072068039534738,0.04030338464125411,0.11867006911469631,0.9171160942378654
canonical,train,Viral Exanthem,0.24,57,3466,57,628,2838,0,1.0,0.8188113098672821,0.9094056549336411,0.08321167883211679,1.0,0.15363881401617252,0.996304957431085,0.7170741512198516,0.04751730340948143,0.12846050164421735,0.8217428328129435
canonical,train,Lichen Simplex Chronicus,0.26,55,3468,55,675,2793,0,1.0,0.8053633217993079,0.902681660899654,0.07534246575342465,1.0,0.14012738853503184,0.9995386389850058,0.9694094538419107,0.04754159533231686,0.14670242276435597,0.8084019301731479
canonical,train,Stasis Dermatitis,0.41,49,3474,49,225,3249,0,1.0,0.9352331606217616,0.9676165803108808,0.17883211678832117,1.0,0.30340557275541796,0.9944133093651968,0.5595234282205692,0.036360060231921086,0.10051722401301877,0.9361339767243826
canonical,train,Keratosis Pilaris,0.17,43,3480,43,734,2746,0,1.0,0.789080459770115,0.8945402298850575,0.055341055341055344,1.0,0.1048780487804878,0.9967455225875433,0.6979727054932643,0.04288855565815778,0.11471254812068463,0.7916548396253194
canonical,train,CD - Contact Dermatitis,0.37,49,3474,49,761,2713,0,1.0,0.780944156591825,0.8904720782959126,0.06049382716049383,1.0,0.1140861466821886,0.9965281449367311,0.7491817203708955,0.08609486094386382,0.22140610635690622,0.7839909168322452
canonical,train,Scabies,0.19,44,3479,44,796,2683,0,1.0,0.7711986202931876,0.8855993101465938,0.05238095238095238,1.0,0.09954751131221719,0.9981251143222974,0.7771453075151474,0.042674209240547434,0.12866519958419187,0.7740562021004825
canonical,validation,Eczema,0.59,159,596,107,204,392,52,0.6729559748427673,0.6577181208053692,0.6653370478240682,0.3440514469453376,0.6729559748427673,0.4553191489361702,0.714649022835676,0.37219698752562214,0.2720503087995844,0.34672769498351397,0.6609271523178808
canonical,validation,Allergic Contact Dermatitis,0.6,131,624,91,182,442,40,0.6946564885496184,0.7083333333333334,0.7014949109414759,0.3333333333333333,0.6946564885496184,0.4504950495049505,0.744176942650225,0.405863425210625,0.25430033942085756,0.35328784367698707,0.7059602649006622
canonical,validation,Insect Bite,0.54,61,694,46,172,522,15,0.7540983606557377,0.7521613832853026,0.7531298719705202,0.21100917431192662,0.7540983606557377,0.32974910394265233,0.8223650021259508,0.31050854771289016,0.1880698848550697,0.32812322601651317,0.752317880794702
canonical,validation,Urticaria,0.56,50,705,41,120,585,9,0.82,0.8297872340425532,0.8248936170212766,0.2546583850931677,0.82,0.3886255924170616,0.9067801418439716,0.4611923345990825,0.1495330461841464,0.28800450446750253,0.8291390728476821
canonical,validation,Psoriasis,0.44,46,709,33,195,514,13,0.717391304347826,0.7249647390691114,0.7211780217084687,0.14473684210526316,0.717391304347826,0.24087591240875914,0.8114613356227387,0.34446024731397307,0.1487295935810448,0.2766753820074562,0.7245033112582782
canonical,validation,Folliculitis,0.43,40,715,31,160,555,9,0.775,0.7762237762237763,0.7756118881118881,0.16230366492146597,0.775,0.2683982683982684,0.8583566433566433,0.3015281060858006,0.12717619041935854,0.23913741500369762,0.776158940397351
canonical,validation,Irritant Contact Dermatitis,0.47,38,717,26,226,491,12,0.6842105263157895,0.6847977684797768,0.6845041473977831,0.10317460317460317,0.6842105263157895,0.1793103448275862,0.7725904719958893,0.17083241277398808,0.17836144642756466,0.3324692470799909,0.6847682119205298
canonical,validation,Tinea,0.36,31,724,22,211,513,9,0.7096774193548387,0.7085635359116023,0.7091204776332205,0.0944206008583691,0.7096774193548387,0.16666666666666666,0.7829263945820709,0.2358622293282711,0.12851517851078417,0.2529524337200584,0.7086092715231788
canonical,validation,Herpes Zoster,0.34,22,733,18,133,600,4,0.8181818181818182,0.8185538881309686,0.8183678531563934,0.11920529801324503,0.8181818181818182,0.20809248554913296,0.8818677911447351,0.34835030263490047,0.07763290956182968,0.16980608726265708,0.8185430463576159
canonical,validation,Drug Rash,0.37,22,733,17,180,553,5,0.7727272727272727,0.7544338335607094,0.763580553143991,0.08629441624365482,0.7727272727272727,0.1552511415525114,0.8587374426392163,0.36544081506516857,0.10351253288611202,0.23597394079821096,0.7549668874172185
canonical,validation,Herpes Simplex,0.31,21,734,17,143,591,4,0.8095238095238095,0.8051771117166212,0.8073504606202153,0.10625,0.8095238095238095,0.1878453038674033,0.9176722460101208,0.48793699531115575,0.0693961096970598,0.155488871438768,0.8052980132450331
canonical,validation,Impetigo,0.35,18,737,14,162,575,4,0.7777777777777778,0.7801899592944369,0.7789838685361073,0.07954545454545454,0.7777777777777778,0.14432989690721648,0.8911503090607569,0.3465080957779675,0.09125882792046387,0.1997434431720611,0.7801324503311259
canonical,validation,Acute Dermatitis NOS,0.41,18,737,13,206,531,5,0.7222222222222222,0.7204884667571235,0.7213553444896729,0.0593607305936073,0.7222222222222222,0.10970464135021098,0.7974521332730288,0.09237827812039887,0.1343702483851928,0.2585786627026719,0.7205298013245033
canonical,validation,Hypersensitivity,0.43,17,738,13,174,564,4,0.7647058823529411,0.7642276422764228,0.7644667623146819,0.06951871657754011,0.7647058823529411,0.12745098039215685,0.8228120516499282,0.19608176737607597,0.12006752518583885,0.24673023730645952,0.7642384105960265
canonical,validation,Acne,0.33,14,741,13,69,672,1,0.9285714285714286,0.9068825910931174,0.917727009832273,0.15853658536585366,0.9285714285714286,0.2708333333333333,0.962309620204357,0.4814949530852495,0.04138844708922293,0.10990149541981577,0.9072847682119205
canonical,validation,Pigmented Purpuric Eruption,0.49,14,741,13,57,684,1,0.9285714285714286,0.9230769230769231,0.9258241758241759,0.18571428571428572,0.9285714285714286,0.30952380952380953,0.9626951995373049,0.325046416883424,0.05412508657047184,0.13036870866047137,0.9231788079470199
canonical,validation,Leukocytoclastic Vasculitis,0.23,15,740,12,164,576,3,0.8,0.7783783783783784,0.7891891891891892,0.06818181818181818,0.8,0.1256544502617801,0.8940540540540541,0.27274966142434737,0.06211773205659619,0.13735670611612338,0.7788079470198676
canonical,validation,Lichen Planus Lichenoid Eruption,0.17,13,742,9,228,514,4,0.6923076923076923,0.692722371967655,0.6925150321376736,0.0379746835443038,0.6923076923076923,0.072,0.7699564586357038,0.06811710506277405,0.06368830548502831,0.14230090318478963,0.6927152317880795
canonical,validation,Pityriasis Rosea,0.37,12,743,11,64,679,1,0.9166666666666666,0.9138627187079408,0.9152646926873037,0.14666666666666667,0.9166666666666666,0.25287356321839083,0.961978465679677,0.36414795493106433,0.04663199543457723,0.1206788751407409,0.9139072847682119
canonical,validation,Viral Exanthem,0.24,12,743,10,145,598,2,0.8333333333333334,0.8048452220726783,0.8190892777030059,0.06451612903225806,0.8333333333333334,0.11976047904191617,0.9024226110363391,0.24206650772036398,0.05741283213253444,0.13356920608734119,0.8052980132450331
canonical,validation,Lichen Simplex Chronicus,0.26,12,743,10,127,616,2,0.8333333333333334,0.82907133243607,0.8312023328847017,0.072992700729927,0.8333333333333334,0.1342281879194631,0.879654553611485,0.11024723947788413,0.05559821975780983,0.13926903187864711,0.8291390728476821
canonical,validation,Stasis Dermatitis,0.41,10,745,9,56,689,1,0.9,0.9248322147651007,0.9124161073825503,0.13846153846153847,0.9,0.24,0.9742281879194631,0.4146750154607297,0.04283463752068616,0.10274789575043297,0.9245033112582781
canonical,validation,Keratosis Pilaris,0.17,9,746,7,161,585,2,0.7777777777777778,0.7841823056300268,0.7809800417039023,0.041666666666666664,0.7777777777777778,0.07909604519774012,0.8308013106940721,0.10695742264369716,0.050159943610614204,0.11247047868462443,0.7841059602649006
canonical,validation,CD - Contact Dermatitis,0.37,10,745,8,167,578,2,0.8,0.7758389261744967,0.7879194630872484,0.045714285714285714,0.8,0.08648648648648649,0.8071140939597315,0.0645796057446413,0.09134678384267252,0.21958539017439133,0.776158940397351
canonical,validation,Scabies,0.19,10,745,8,188,557,2,0.8,0.7476510067114094,0.7738255033557047,0.04081632653061224,0.8,0.07766990291262135,0.8319463087248322,0.16974080774047584,0.05810851714140565,0.13657487581766187,0.7483443708609272
canonical,test,Eczema,0.59,158,597,112,205,392,46,0.7088607594936709,0.6566164154103853,0.6827385874520281,0.35331230283911674,0.7088607594936709,0.47157894736842104,0.750842821703454,0.42057110788491237,0.2660712651135772,0.34656765907016024,0.6675496688741722
canonical,test,Allergic Contact Dermatitis,0.6,131,624,87,198,426,44,0.6641221374045801,0.6826923076923077,0.673407222548444,0.30526315789473685,0.6641221374045801,0.4182692307692308,0.7309037972205912,0.35791413026016156,0.2585789589581203,0.3551376474377336,0.6794701986754967
canonical,test,Insect Bite,0.54,60,695,48,172,523,12,0.8,0.7525179856115108,0.7762589928057555,0.21818181818181817,0.8,0.34285714285714286,0.8563069544364508,0.36309059278920497,0.18420328794523727,0.32870621335057426,0.7562913907284768
canonical,test,Urticaria,0.56,50,705,38,127,578,12,0.76,0.8198581560283688,0.7899290780141843,0.23030303030303031,0.76,0.35348837209302325,0.8757446808510638,0.4026094425666245,0.15479789313818226,0.28559965545336247,0.8158940397350993
canonical,test,Psoriasis,0.44,46,709,33,186,523,13,0.717391304347826,0.7376586741889986,0.7275249892684124,0.1506849315068493,0.717391304347826,0.2490566037735849,0.7936775617832832,0.24241371574373644,0.14767809627357883,0.27020875116625176,0.7364238410596027
canonical,test,Folliculitis,0.43,40,715,34,165,550,6,0.85,0.7692307692307693,0.8096153846153846,0.1708542713567839,0.85,0.28451882845188287,0.8832867132867133,0.45118712682081774,0.1258668594761104,0.24195004577915002,0.7735099337748345
canonical,test,Irritant Contact Dermatitis,0.47,37,718,28,220,498,9,0.7567567567567568,0.6935933147632312,0.725175035759994,0.11290322580645161,0.7567567567567568,0.19649122807017544,0.8100956109312656,0.2289264104740966,0.17391411117965638,0.33279158684258525,0.6966887417218544
canonical,test,Tinea,0.36,31,724,24,217,507,7,0.7741935483870968,0.7002762430939227,0.7372348957405097,0.0995850622406639,0.7741935483870968,0.17647058823529413,0.7958474425236143,0.15021152967906762,0.13293225124549538,0.25573034938406325,0.7033112582781457
canonical,test,Herpes Zoster,0.34,21,734,18,135,599,3,0.8571428571428571,0.8160762942779292,0.8366095757103931,0.11764705882352941,0.8571428571428571,0.20689655172413793,0.8972362787076683,0.31165906688464057,0.08074572076351905,0.1775322685513448,0.8172185430463577
canonical,test,Drug Rash,0.37,22,733,15,182,551,7,0.6818181818181818,0.7517053206002728,0.7167617512092272,0.07614213197969544,0.6818181818181818,0.136986301369863,0.8264913803795114,0.3054339009011923,0.10409732932094888,0.2329038734995569,0.7496688741721854
canonical,test,Herpes Simplex,0.31,21,734,21,152,582,0,1.0,0.7929155313351499,0.896457765667575,0.12138728323699421,1.0,0.21649484536082475,0.966394187102634,0.4899418601314283,0.07198062818054284,0.1663837718501199,0.7986754966887417
canonical,test,Impetigo,0.35,18,737,13,169,568,5,0.7222222222222222,0.7706919945725916,0.746457108397407,0.07142857142857142,0.7222222222222222,0.13,0.7812452887079753,0.13464837269674218,0.09630743586894047,0.20224534243598133,0.7695364238410596
canonical,test,Acute Dermatitis NOS,0.41,19,736,14,195,541,5,0.7368421052631579,0.7350543478260869,0.7359482265446224,0.06698564593301436,0.7368421052631579,0.12280701754385964,0.8202588672768878,0.15784576742729084,0.13081301868482598,0.25586579586780134,0.7350993377483444
canonical,test,Hypersensitivity,0.43,17,738,12,175,563,5,0.7058823529411765,0.7628726287262872,0.7343774908337319,0.06417112299465241,0.7058823529411765,0.11764705882352941,0.8329347999362346,0.21886069231190583,0.1164449089628448,0.24335979820784204,0.7615894039735099
canonical,test,Acne,0.33,15,740,12,72,668,3,0.8,0.9027027027027027,0.8513513513513513,0.14285714285714285,0.8,0.24242424242424243,0.9638738738738739,0.5539383198808355,0.04436850231440186,0.11311039755453925,0.9006622516556292
canonical,test,Pigmented Purpuric Eruption,0.49,15,740,14,51,689,1,0.9333333333333333,0.9310810810810811,0.9322072072072072,0.2153846153846154,0.9333333333333333,0.35,0.9797297297297297,0.5416397174110423,0.0514864782606734,0.1271811783514047,0.9311258278145695
canonical,test,Leukocytoclastic Vasculitis,0.23,15,740,11,156,584,4,0.7333333333333333,0.7891891891891892,0.7612612612612613,0.0658682634730539,0.7333333333333333,0.12087912087912088,0.8263963963963964,0.19245024628653576,0.05962193417268009,0.13173251367917294,0.7880794701986755
canonical,test,Lichen Planus Lichenoid Eruption,0.17,14,741,11,231,510,3,0.7857142857142857,0.6882591093117408,0.7369866975130133,0.045454545454545456,0.7857142857142857,0.0859375,0.799305957200694,0.16165251754338553,0.06029168613510788,0.1393308004454882,0.6900662251655629
canonical,test,Pityriasis Rosea,0.37,12,743,7,62,681,5,0.5833333333333334,0.9165545087483177,0.7499439210408255,0.10144927536231885,0.5833333333333334,0.1728395061728395,0.8919919246298789,0.2355366786362009,0.04607455012646848,0.11482905399006488,0.9112582781456954
canonical,test,Viral Exanthem,0.24,13,742,7,150,592,6,0.5384615384615384,0.7978436657681941,0.6681526021148663,0.044585987261146494,0.5384615384615384,0.08235294117647059,0.7673647107609373,0.13289206175776458,0.06384548083951276,0.13285537437395503,0.7933774834437086
canonical,test,Lichen Simplex Chronicus,0.26,11,744,8,138,606,3,0.7272727272727273,0.8145161290322581,0.7708944281524928,0.0547945205479452,0.7272727272727273,0.10191082802547771,0.8790322580645162,0.07855992383660704,0.054931483337766124,0.14062495063447591,0.8132450331125828
canonical,test,Stasis Dermatitis,0.41,11,744,8,58,686,3,0.7272727272727273,0.9220430107526881,0.8246578690127078,0.12121212121212122,0.7272727272727273,0.2077922077922078,0.9505131964809383,0.45121200559306157,0.04250866913598465,0.10162154283534905,0.919205298013245
canonical,test,Keratosis Pilaris,0.17,9,746,9,171,575,0,1.0,0.7707774798927614,0.8853887399463807,0.05,1.0,0.09523809523809523,0.9544235924932976,0.20732562742017868,0.05053554866017798,0.11989682831964144,0.7735099337748345
canonical,test,CD - Contact Dermatitis,0.37,11,744,4,172,572,7,0.36363636363636365,0.7688172043010753,0.5662267839687194,0.022727272727272728,0.36363636363636365,0.0427807486631016,0.6717986314760508,0.028153351878223525,0.09664885327504026,0.22325731443793248,0.7629139072847683
canonical,test,Scabies,0.19,9,746,7,168,578,2,0.7777777777777778,0.774798927613941,0.7762883526958594,0.04,0.7777777777777778,0.07608695652173914,0.774798927613941,0.17290700757794505,0.05758927909751961,0.1334803941759006,0.7748344370860927
