encoder,seed,checkpoint_score,epoch,learning_rate,train_accuracy,train_loss,validation_accuracy,validation_auc_macro,validation_auc_micro,validation_auc_weighted,validation_brier_macro,validation_coverage_error,validation_ece_macro,validation_f1_macro,validation_f1_micro,validation_label_ranking_average_precision,validation_loss,validation_pr_auc_macro,validation_pr_auc_micro,validation_precision_macro,validation_precision_micro,validation_ranking_loss,validation_recall_macro,validation_recall_micro,validation_subset_accuracy,validation_top1_hit,validation_top3_hit,validation_top5_hit,best_epoch
canonical,42,0.8343455962777315,1,0.0008263860513916881,0.1285608856088561,0.15252555813640356,0.09441059602649006,0.7749949867561529,0.5482520013611663,0.7192567028671205,0.33322254351682473,8.025165562913907,0.5392074886615703,0.08354889142785156,0.08598470670017647,0.5935060952157871,0.12885926477611065,0.16866353140429735,0.06153250220463363,0.04562678143190298,0.04492624050067054,0.24576999149183062,0.9971428571428572,0.9987577639751553,0.0,0.13283208020050125,0.2907268170426065,0.38596491228070173,21
canonical,42,0.8719733440828521,2,0.0008241225367638266,0.29809821175134826,0.12206928431987762,0.33864900662251657,0.8068828664641995,0.7563798134927319,0.7467474977457615,0.3130618436141201,4.985430463576159,0.5122412064051786,0.10810116610312598,0.11121395514417942,0.6509047761865263,0.11793505524595578,0.20423297715797623,0.10273905328257374,0.06013630172244691,0.05898791540785499,0.1302665154365641,0.9470278738658149,0.9701863354037267,0.0,0.20551378446115287,0.42606516290726815,0.6491228070175439,21
canonical,42,0.8899778325495051,3,0.0008173567924201757,0.40986659097360206,0.11241601327700275,0.4603973509933775,0.8189786018568037,0.8146959202824077,0.7596696815981645,0.26756762075053403,4.050331125827815,0.46574525585395604,0.12099488466066005,0.13030484160191272,0.7099923069270142,0.10696061638494332,0.22485346453128444,0.1630486615112282,0.06726997839175301,0.0699614890885751,0.0952023115926612,0.9192402872871096,0.9478260869565217,0.0,0.3308270676691729,0.656641604010025,0.7894736842105263,21
canonical,42,0.9011625423852657,4,0.0008061629452715875,0.4936020437127448,0.10022089490666986,0.525933774834437,0.8308684945109814,0.8063065305042157,0.7757396425872546,0.2496034962901047,4.225165562913907,0.443668445882813,0.12812497444301596,0.14307603907297453,0.7029404787428433,0.10035106415549915,0.23604455297014149,0.16243466753028324,0.07135244129385171,0.07751374909204109,0.10093124495137014,0.9309897317876444,0.9279503105590062,0.0,0.3358395989974937,0.5789473684210527,0.7644110275689223,21
canonical,42,0.9055973133483899,5,0.0007906636374498848,0.5602497871132558,0.09373620564916305,0.48582781456953644,0.8371050402273197,0.7903425601611401,0.7828106733639987,0.2677756104982937,4.50728476821192,0.4627855352936991,0.12099703540993755,0.1344867564434139,0.684922731210702,0.1033817424128453,0.23399261109542496,0.138445997213325,0.06727870894723774,0.07244427363566487,0.11165799888302806,0.9430511104536135,0.9366459627329192,0.0013245033112582781,0.2681704260651629,0.5488721804511278,0.731829573934837,21
canonical,42,0.9066858674532539,6,0.0007710286826150014,0.5608288390576214,0.09221375374389547,0.6605562913907285,0.8361436412784888,0.814694132892444,0.7847120779231015,0.20435146561196554,4.086092715231788,0.3815536403267194,0.15873696275461405,0.17531213798429657,0.7054222617476502,0.1143486990282933,0.25197060647970615,0.16759858834160574,0.09154811141643801,0.09778862722573234,0.09690683374142237,0.8501387805214438,0.8459627329192546,0.01456953642384106,0.3258145363408521,0.6115288220551378,0.7769423558897243,21
canonical,42,0.9172276272005148,7,0.0007474732054409863,0.6074027817201249,0.08553351767893348,0.6096953642384106,0.8444050534791251,0.8401857854375839,0.7944910137321609,0.22341471811706537,3.6211920529801325,0.4024827239381161,0.1495191183793823,0.1678527052976392,0.7282257372138965,0.1064004556586345,0.25039058990118,0.17714871778754995,0.08432892940473485,0.09232107355864812,0.08124748827281145,0.9054942360044049,0.9229813664596274,0.009271523178807948,0.3634085213032581,0.6666666666666666,0.8120300751879699,21
canonical,42,0.9109988970770945,8,0.0007202552846650586,0.6343003122338916,0.08024344300585133,0.7025165562913908,0.8376835681473693,0.8411817053762628,0.7899889941447641,0.1825948805642048,3.605298013245033,0.35084528323085296,0.17050447909786906,0.1947511831349491,0.7331532892972512,0.124020225678881,0.2643344713826457,0.18842873806631588,0.0979856405190236,0.11008430609597925,0.08124058674288265,0.822623569517637,0.8434782608695652,0.022516556291390728,0.37844611528822053,0.6791979949874687,0.8245614035087719,21
canonical,42,0.9169999277242957,9,0.0006896731255229556,0.6656713028668748,0.0750747674943081,0.6579602649006623,0.8437294935075255,0.8450449769186085,0.7963245688941655,0.2018715683629927,3.5536423841059603,0.3696003845164318,0.15765914101339307,0.18133400963733198,0.7327043421677029,0.11450904048979282,0.25249070763140524,0.18035653124338216,0.08985321547245377,0.10097443863861037,0.07956677023553832,0.8563270405543253,0.8881987577639752,0.017218543046357615,0.3508771929824561,0.6741854636591479,0.8195488721804511,21
canonical,42,0.9114074663019175,10,0.0006560617925499662,0.6853590689753052,0.07286167058295437,0.6784635761589404,0.8392479923643807,0.8376111876862581,0.7892469161643912,0.18832159760127826,3.666225165562914,0.3479962670373552,0.16050467509040753,0.18504095608970056,0.7215947393753677,0.13124293896059194,0.25493603817462696,0.17590766957336734,0.09194272812253444,0.10373381511592894,0.08397995938725172,0.814619761849093,0.8559006211180125,0.018543046357615896,0.3458646616541353,0.6290726817042607,0.8070175438596491,21
canonical,42,0.92166518132621,11,0.0006197895385437662,0.7034459267669599,0.06890584508489285,0.6534569536423841,0.8487175115415408,0.8503842544693343,0.8017198995984628,0.2004552210926204,3.4980132450331127,0.3632669034126085,0.16106178228788218,0.18145413590289075,0.7294766978466917,0.11951230466365814,0.254495432595191,0.1834585064850729,0.09148215717398488,0.10089062065126635,0.07759685933153433,0.8624207251091935,0.9006211180124224,0.013245033112582781,0.3508771929824561,0.6741854636591479,0.8345864661654135,21
canonical,42,0.9100072534982073,12,0.0005812537699097047,0.7188986659097361,0.06602862404127206,0.6423841059602649,0.8393010621307782,0.8305967476377235,0.7920007220279344,0.2093351327493227,3.814569536423841,0.3643906715168982,0.16440349326266068,0.1754214512582458,0.7070619136742912,0.13517016420761743,0.24091513192705194,0.15180067483249804,0.09394661183119143,0.09727679176263379,0.09009300900603734,0.8695780616251533,0.8919254658385093,0.02384105960264901,0.2882205513784461,0.5789473684210527,0.7719298245614035,21
canonical,42,0.9203686708834031,13,0.0005408766925930643,0.7266193585012773,0.06343595168021109,0.6992317880794702,0.8455889398671418,0.8597295541493227,0.8008189692341671,0.17945666901770088,3.32317880794702,0.3280673535852353,0.17321638367530479,0.20030990280321173,0.7477973101626137,0.1370930653065443,0.259008287721426,0.2042003763768128,0.0987888738718688,0.11296472831267874,0.07032451203657653,0.8346548252846181,0.8832298136645963,0.026490066225165563,0.39097744360902253,0.7418546365914787,0.8521303258145363,21
canonical,42,0.9184765053767253,14,0.0004991006863023729,0.7559693443088277,0.05771824045638953,0.734887417218543,0.8446002039402785,0.8512879175875734,0.8001822676877686,0.163577794962074,3.434437086092715,0.3065922954683038,0.18366902784366956,0.21345488839987425,0.7387630143644682,0.1549876326074203,0.2563748822113194,0.20055370758584432,0.10641724244250465,0.12218823105992442,0.07572125501303975,0.8117849944620366,0.8434782608695652,0.03576158940397351,0.3609022556390977,0.6867167919799498,0.8320802005012531,21
canonical,42,0.9193308025969993,15,0.00045638345770474285,0.7656429179676412,0.05444122355298272,0.8010596026490067,0.8439411061134394,0.8593584301216456,0.8006280028495062,0.130627230349608,3.2635761589403973,0.25466012451222586,0.21241798933187803,0.24643788882199477,0.7538969648355989,0.18576451763510704,0.263388270461639,0.21047309099882394,0.1281515180097371,0.1469602680708473,0.06922052356239393,0.7219048790794121,0.7627329192546584,0.05562913907284768,0.41604010025062654,0.7167919799498746,0.8546365914786967,21
canonical,42,0.9200533690083784,16,0.0004131930256958443,0.7932671019017883,0.05079525928678257,0.7734039735099337,0.8437726234557863,0.8680274089376372,0.8007014568952772,0.14253144139672316,3.176158940397351,0.26664851320718125,0.20066270398775127,0.2350205687712395,0.7628074555259209,0.18742864951491356,0.26707068072949075,0.2198346074217672,0.1185402878729236,0.1372753865440869,0.06526740856801323,0.7459160307375369,0.8161490683229814,0.04900662251655629,0.39598997493734334,0.7593984962406015,0.8922305764411027,21
