encoder,seed,split,subset_accuracy,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,auc_micro,auc_macro,pr_auc_micro,pr_auc_macro,brier_macro,ece_macro
resnet50,42,train,0.0,0.1704035874439461,0.7916666666666666,0.2804428044280442,0.2423074409250879,0.9047619047619048,0.3487248468765497,0.7880562060889931,0.922591036414566,0.5516960486311536,0.8510188383045525,0.2373115421805649,0.4226682215615323
resnet50,42,validation,0.0,0.1142857142857142,0.4444444444444444,0.1818181818181818,0.0799999999999999,0.16,0.1,0.5168350168350169,0.5,0.1333940809269557,0.6111111111111112,0.2503996950642198,0.4198624964555104
resnet50,42,test,0.0,0.2,0.6,0.3,0.1326666666666666,0.48,0.1912380952380952,0.5603199999999999,0.5702380952380953,0.2383814415384272,0.4603174603174603,0.2529285907147499,0.3540979899962743
resnet50,43,train,0.0,0.2198952879581152,0.875,0.3514644351464435,0.2746845866551748,0.9285714285714286,0.3965101434513199,0.870511319281811,0.9222871148459384,0.6141794922574478,0.8363741767839512,0.2252815642240717,0.4206845203198884
resnet50,43,validation,0.0,0.1666666666666666,0.6666666666666666,0.2666666666666666,0.0933333333333333,0.24,0.1333333333333333,0.5471380471380471,0.5,0.2057608761756687,0.574074074074074,0.2435734151512616,0.41250057776769
resnet50,43,test,0.0,0.1791044776119403,0.48,0.2608695652173913,0.0993333333333333,0.32,0.1483809523809523,0.51968,0.4357142857142857,0.1929087285268563,0.326984126984127,0.2508395557794086,0.3354465993245443
