label,accuracy_default,accuracy_balanced,balanced_threshold
Eczema,0.3333333333333333,0.5,0.54
Allergic Contact Dermatitis,0.3333333333333333,0.3333333333333333,0.5
Insect Bite,0.3333333333333333,0.3333333333333333,0.53
Urticaria,0.16666666666666666,0.16666666666666666,0.0
Psoriasis,0.3333333333333333,0.5,0.52
Folliculitis,0.16666666666666666,0.16666666666666666,0.0
Irritant Contact Dermatitis,0.8333333333333334,0.16666666666666666,0.0
Tinea,0.5,0.16666666666666666,0.0
Herpes Zoster,1.0,0.16666666666666666,0.47
Drug Rash,0.5,0.3333333333333333,0.0
Herpes Simplex,0.5,0.16666666666666666,0.0
Impetigo,1.0,0.3333333333333333,0.47
Acute Dermatitis NOS,0.8333333333333334,0.16666666666666666,0.0
Hypersensitivity,0.8333333333333334,0.16666666666666666,0.0
Acne,0.8333333333333334,0.16666666666666666,0.47
Pigmented Purpuric Eruption,0.16666666666666666,0.16666666666666666,0.0
Leukocytoclastic Vasculitis,0.3333333333333333,0.3333333333333333,0.0
Lichen Planus Lichenoid Eruption,1.0,0.5,0.47
Pityriasis Rosea,0.8333333333333334,0.16666666666666666,0.0
Viral Exanthem,0.5,0.16666666666666666,0.0
Lichen Simplex Chronicus,0.3333333333333333,0.5,0.51
Stasis Dermatitis,0.5,0.16666666666666666,0.0
Keratosis Pilaris,0.8333333333333334,0.16666666666666666,0.0
CD - Contact Dermatitis,0.16666666666666666,0.16666666666666666,0.0
Scabies,0.8333333333333334,0.16666666666666666,0.0
