encoder,seed,epoch,train_accuracy,train_loss,validation_accuracy,validation_loss,best_epoch
siglip2_so400m,42,1,0.559183904788892,1.321240813604423,0.6711936339522546,1.1064934134483337,3
siglip2_so400m,42,2,0.6602096911306319,1.0632026908653123,0.6752785145888595,1.0453855643669765,3
siglip2_so400m,42,3,0.7075092094077643,0.9543687658650535,0.7096551724137931,0.9714440405368805,3
siglip2_so400m,42,4,0.735324454519694,0.8728031281914029,0.7555437665782493,0.9741275211175283,3
siglip2_so400m,42,5,0.7527798243128365,0.8096797029886927,0.7736339522546419,1.0005108813444774,3
siglip2_so400m,42,6,0.7611901388495325,0.7852037719317845,0.7745888594164456,1.0905508399009705,3
siglip2_so400m,42,7,0.7774100311703032,0.7327092715672084,0.7960742705570292,1.0157993634541829,3
siglip2_so400m,42,8,0.7828733352224426,0.6885880742754255,0.8172413793103448,1.026953915754954,3
siglip2_so400m,42,9,0.7981071124964579,0.6454179765922683,0.806790450928382,1.0695009628931682,3
siglip2_so400m,42,10,0.7978124114480023,0.6283984918679509,0.7707161803713528,1.060355693101883,3
siglip2_so400m,42,11,0.8097364692547464,0.5872067010828427,0.8203713527851458,1.1064796050389607,3
siglip2_so400m,43,1,0.5753244545196939,1.2694311237760953,0.6964456233421751,1.1035186251004536,6
siglip2_so400m,43,2,0.6733238877869084,1.0411529775176729,0.7285941644562334,1.0466505934794743,6
siglip2_so400m,43,3,0.7075205440634741,0.9551609275596482,0.643129973474801,0.9850330750147501,6
siglip2_so400m,43,4,0.7344856899971663,0.8721484350306647,0.7312466843501326,0.9827514092127482,6
siglip2_so400m,43,5,0.7440408047605555,0.8279626582350049,0.8018037135278515,0.9945034235715866,6
siglip2_so400m,43,6,0.7659506942476623,0.7746112037982259,0.7390450928381963,0.9388666798671087,6
siglip2_so400m,43,7,0.7685463304052139,0.7402717077306339,0.8304509283819629,1.205483501156171,6
siglip2_so400m,43,8,0.7873051856049873,0.6807388982602528,0.7687002652519894,1.0204750845829647,6
siglip2_so400m,43,9,0.7935165769339756,0.6483708258186068,0.7793633952254642,1.0801756133635838,6
siglip2_so400m,43,10,0.7955681496174554,0.6393808605415481,0.7822811671087533,1.102314497033755,6
siglip2_so400m,43,11,0.8052592802493624,0.6107583705868039,0.8056233421750663,1.1120962450901668,6
siglip2_so400m,43,12,0.8151657693397563,0.5681345244603497,0.8065782493368701,1.2479259222745895,6
siglip2_so400m,43,13,0.81491640691414,0.5513148951743331,0.823342175066313,1.2551962633927662,6
siglip2_so400m,43,14,0.8285406630773591,0.510865465338741,0.8219098143236074,1.2906929155190785,6
siglip2_so400m,44,1,0.5814338339472939,1.276679484971932,0.7058885941644563,1.0709224541982014,4
siglip2_so400m,44,2,0.6796259563615755,1.0551551569785391,0.7623872679045093,1.0449555218219757,4
siglip2_so400m,44,3,0.7141853216208558,0.9376693346670696,0.7575066312997347,1.0204436133305232,4
siglip2_so400m,44,4,0.7330348540663078,0.871065725173269,0.7569761273209549,0.9281645168860754,4
siglip2_so400m,44,5,0.7597619722300936,0.8001033748899188,0.6978249336870026,0.9358089218537012,4
siglip2_so400m,44,6,0.7716293567582885,0.7502880266734532,0.7374535809018568,1.0079914927482605,4
siglip2_so400m,44,7,0.7764919240578068,0.7122905158570835,0.7638196286472149,1.012798731525739,4
siglip2_so400m,44,8,0.7877018985548314,0.6793652863374778,0.7856763925729443,1.0654272834459941,4
siglip2_so400m,44,9,0.797018985548314,0.6413447558879852,0.7855172413793103,1.1543250779310863,4
siglip2_so400m,44,10,0.7978124114480023,0.6249154359102249,0.8052519893899204,1.1143319060405095,4
siglip2_so400m,44,11,0.8088183621422499,0.5818862760705608,0.8216976127320955,1.2548453013102214,4
siglip2_so400m,44,12,0.8110399546613771,0.5781664614166532,0.8289124668435013,1.2230454211433728,4
siglip2_so400m,45,1,0.5738622839331255,1.2845303799424852,0.586631299734748,1.1294292211532593,4
siglip2_so400m,45,2,0.6728138282799659,1.0440824713025774,0.6516180371352785,1.0158478965361912,4
siglip2_so400m,45,3,0.7175290450552565,0.9111654141119548,0.7773474801061008,1.0199389308691025,4
siglip2_so400m,45,4,0.7459450269198074,0.8598870603101594,0.7380901856763926,0.9459529966115952,4
siglip2_so400m,45,5,0.753017852082743,0.8029542565345764,0.7330503978779841,0.9688176214694977,4
siglip2_so400m,45,6,0.7689090393879285,0.7687147983482906,0.7669496021220159,1.012927770614624,4
siglip2_so400m,45,7,0.7705412298101445,0.7209477839725358,0.8114588859416446,1.0536085069179535,4
siglip2_so400m,45,8,0.7899121564182487,0.669463936239481,0.7825464190981433,1.0239098767439525,4
siglip2_so400m,45,9,0.7980731085293284,0.6452926312174115,0.8063129973474801,1.171013131737709,4
siglip2_so400m,45,10,0.8103825446302069,0.6002451809389251,0.7382493368700265,1.042918786406517,4
siglip2_so400m,45,11,0.8114026636440919,0.5793636419943401,0.7846684350132626,1.1033312479654949,4
siglip2_so400m,45,12,0.8070274865400964,0.581663757030453,0.8372944297082228,1.3359239449103673,4
siglip2_so400m,46,1,0.5624709549447435,1.2931355578558785,0.7151724137931035,1.1751441210508347,5
siglip2_so400m,46,2,0.6720997449702465,1.0379749674882208,0.6353315649867374,1.0548890332380931,5
siglip2_so400m,46,3,0.7145480306035704,0.9528375938534737,0.7080636604774536,0.9958296567201614,5
siglip2_so400m,46,4,0.7368999716633607,0.8731250965169498,0.7540583554376658,0.9617692778507868,5
siglip2_so400m,46,5,0.754026636440918,0.8159945820059095,0.7390981432360743,0.9241285671790441,5
siglip2_so400m,46,6,0.768206290733919,0.7620069310069084,0.7854111405835543,0.966373602549235,5
siglip2_so400m,46,7,0.773692264097478,0.7326606166149888,0.8022281167108753,0.9978918532530466,5
siglip2_so400m,46,8,0.7862737319353925,0.6848460670028415,0.8025994694960212,1.046108250816663,5
siglip2_so400m,46,9,0.7950014168319637,0.6438963775123868,0.7778249336870027,1.0416263192892075,5
siglip2_so400m,46,10,0.8015755171436668,0.6390465827924865,0.7562864721485412,1.0643632610638936,5
siglip2_so400m,46,11,0.7989912156418248,0.6211416849068233,0.7893368700265252,1.1466176013151805,5
siglip2_so400m,46,12,0.816208557665061,0.5631861963442394,0.8011671087533156,1.2370142837365468,5
siglip2_so400m,46,13,0.8175573816945311,0.5365773907729557,0.8062599469496021,1.273792177438736,5
siglip2_so400m,47,1,0.5551941059790308,1.3017311521938868,0.6923607427055702,1.1670068750778835,6
siglip2_so400m,47,2,0.673153867951261,1.0618896622742926,0.6926790450928382,1.0022681653499603,6
siglip2_so400m,47,3,0.7060810427883253,0.96073815120118,0.7411140583554376,0.9678995013237,6
siglip2_so400m,47,4,0.7400963445735336,0.8649610610944884,0.7220689655172414,0.9425889303286871,6
siglip2_so400m,47,5,0.745695664494191,0.8398168438247272,0.726737400530504,0.9559114227692286,6
siglip2_so400m,47,6,0.762300935109096,0.7712541914411953,0.7489124668435013,0.9218015521764755,6
siglip2_so400m,47,7,0.7697137999433267,0.759020556296621,0.7962334217506631,1.0096043795347214,6
siglip2_so400m,47,8,0.7794616038537829,0.696084201335907,0.7852519893899205,1.0195929656426113,6
siglip2_so400m,47,9,0.785491640691414,0.6708638146519661,0.7635543766578249,1.1096520125865936,6
siglip2_so400m,47,10,0.8013374893737603,0.6170851013490132,0.8438726790450929,1.330118993918101,6
siglip2_so400m,47,11,0.8103485406630774,0.5923186380948339,0.7938992042440318,1.1795739730199177,6
siglip2_so400m,47,12,0.8082856333238878,0.5764284751244954,0.8081697612732095,1.17643337448438,6
siglip2_so400m,47,13,0.8240861433833947,0.5221835875085422,0.7974535809018568,1.1897717267274857,6
siglip2_so400m,47,14,0.8204250495891188,0.5275046226701566,0.8310875331564986,1.2889605859915416,6
siglip2_so400m,48,1,0.5478152451119297,1.3011883859123503,0.6741644562334218,1.1231648276249568,4
siglip2_so400m,48,2,0.6689600453386229,1.0732490377766746,0.6877453580901857,1.0391426732142766,4
siglip2_so400m,48,3,0.7144573533578917,0.9620860304151263,0.6340053050397878,1.06648488342762,4
siglip2_so400m,48,4,0.7170303202040238,0.9118462087852615,0.7494429708222812,0.9559017717838287,4
siglip2_so400m,48,5,0.7409124397846415,0.8373217763645309,0.7613793103448275,1.0609631886084874,4
siglip2_so400m,48,6,0.7616775290450553,0.7751678654125759,0.7759151193633952,1.1010630081097286,4
siglip2_so400m,48,7,0.7769339756304903,0.7278696064438138,0.7751193633952255,1.0961555590232213,4
siglip2_so400m,48,8,0.7799489940493057,0.7098920909421784,0.7595225464190981,1.062627524137497,4
siglip2_so400m,48,9,0.785219608954378,0.6736088400440556,0.7757559681697612,1.0757647653420765,4
siglip2_so400m,48,10,0.795862850665911,0.63948186061212,0.756604774535809,1.0608681042989094,4
siglip2_so400m,48,11,0.8081609521110796,0.5874846859702042,0.7696551724137931,1.1669989029566448,4
siglip2_so400m,48,12,0.8125134599036554,0.5737359912267753,0.7964456233421751,1.1431158383687336,4
siglip2_so400m,49,1,0.541150467554548,1.3277468330093793,0.5790450928381963,1.1656748056411743,5
siglip2_so400m,49,2,0.6649929158401814,1.0797717251947947,0.6467904509283819,1.0784582595030467,5
siglip2_so400m,49,3,0.7112383111362992,0.962049027638776,0.6989920424403183,0.9617193440596262,5
siglip2_so400m,49,4,0.723253046188722,0.897346990449088,0.7597877984084881,0.958761548002561,5
siglip2_so400m,49,5,0.7481552847832247,0.8403089770248958,0.7773474801061008,0.9107865740855535,5
siglip2_so400m,49,6,0.7681269481439501,0.7750370034149715,0.7279575596816976,0.9244802494843801,5
siglip2_so400m,49,7,0.7730461887220176,0.7387827996696744,0.7310875331564987,0.9791834503412247,5
siglip2_so400m,49,8,0.7788722017568717,0.6983642242848873,0.8129973474801061,1.0984390775362651,5
siglip2_so400m,49,9,0.7928478322470955,0.6534092319863183,0.7748010610079575,1.0979468276103337,5
siglip2_so400m,49,10,0.7978917540379711,0.6161807876612458,0.8345888594164457,1.1601641178131104,5
siglip2_so400m,49,11,0.8054179654293001,0.6040761869932924,0.8180371352785146,1.1208913177251816,5
siglip2_so400m,49,12,0.8149390762255596,0.5670794647719178,0.7998408488063661,1.1837583978970845,5
siglip2_so400m,49,13,0.8241088126948144,0.5346973011536258,0.8226525198938992,1.2681004703044891,5
siglip2_so400m,50,1,0.5633323887786909,1.3028392036046301,0.6121485411140584,1.1449767053127289,4
siglip2_so400m,50,2,0.6607084159818646,1.0708430739385741,0.6449867374005305,1.038936917980512,4
siglip2_so400m,50,3,0.7030886936809294,0.9607356020382473,0.6575596816976127,1.0362367928028107,4
siglip2_so400m,50,4,0.7348710682913007,0.8835295970950808,0.7080636604774536,0.9334733684857687,4
siglip2_so400m,50,5,0.7484159818645508,0.8219111412763596,0.7683819628647215,1.0410392532745998,4
siglip2_so400m,50,6,0.7667894587701899,0.7760434799960682,0.7197347480106101,0.9459889729817709,4
siglip2_so400m,50,7,0.7735789175403797,0.7163124031254223,0.8107161803713527,1.0366030236085255,4
siglip2_so400m,50,8,0.7927571550014169,0.6865905805357865,0.7592572944297082,0.9809636175632477,4
siglip2_so400m,50,9,0.7895721167469538,0.6892988836126668,0.7625464190981432,1.0862330744663875,4
siglip2_so400m,50,10,0.7982204590535562,0.6285609283617565,0.7729973474801061,1.0386078854401906,4
siglip2_so400m,50,11,0.8118787191839048,0.5918245352804661,0.7753846153846153,1.1882879833380382,4
siglip2_so400m,50,12,0.8139302918673845,0.557636847453458,0.7953315649867374,1.2227248152097066,4
siglip2_so400m,51,1,0.5609181071124965,1.293601077582155,0.673315649867374,1.119094376762708,5
siglip2_so400m,51,2,0.6718163785775008,1.0610183605125971,0.6817506631299735,1.0463013996680577,5
siglip2_so400m,51,3,0.6908019268914707,0.9699772968888283,0.7496551724137931,0.9825529605150223,5
siglip2_so400m,51,4,0.742578634173987,0.9007065934794289,0.6698143236074271,0.9555601427952448,5
siglip2_so400m,51,5,0.7393709266081043,0.8495489199246679,0.7755968169761274,0.9433616797129313,5
siglip2_so400m,51,6,0.7661773873618589,0.7587502013359751,0.7676392572944297,0.944662407040596,5
siglip2_so400m,51,7,0.7831453669594786,0.7037673214716571,0.7763925729442971,0.98765067756176,5
siglip2_so400m,51,8,0.7865684329838482,0.6705677402870995,0.7981962864721486,1.025707299510638,5
siglip2_so400m,51,9,0.7967356191555681,0.646829288985048,0.8048275862068965,1.0629056245088577,5
siglip2_so400m,51,10,0.7972116746953811,0.6465065218508244,0.7863660477453581,1.0903739432493846,5
siglip2_so400m,51,11,0.7979937659393596,0.6256555590246405,0.7826525198938992,1.0327231884002686,5
siglip2_so400m,51,12,0.8149617455369793,0.5740843399294785,0.7769761273209549,1.0825741936763127,5
siglip2_so400m,51,13,0.8202323604420516,0.5416168261851583,0.8128381962864721,1.2077221522728603,5
