encoder,split,label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece,accuracy
siglip2_so400m,train,Eczema,0.54,7,12,7,9,3,0,1.0,0.25,0.625,0.4375,1.0,0.6086956521739131,0.6904761904761905,0.5577398791684506,0.2648621935659504,0.18588665284608547,0.5263157894736842
siglip2_so400m,train,Allergic Contact Dermatitis,0.5,3,16,2,8,8,1,0.6666666666666666,0.5,0.5833333333333333,0.2,0.6666666666666666,0.3076923076923077,0.7083333333333333,0.31313131313131315,0.24954775101233553,0.3448456368948284,0.5263157894736842
siglip2_so400m,train,Insect Bite,0.53,1,18,1,11,7,0,1.0,0.3888888888888889,0.6944444444444444,0.08333333333333333,1.0,0.15384615384615385,1.0,1.0,0.2696093391840411,0.5171534356318022,0.42105263157894735
siglip2_so400m,train,Urticaria,0.0,2,17,2,17,0,0,1.0,0.0,0.5,0.10526315789473684,1.0,0.19047619047619047,1.0,1.0,0.2576522109462008,0.4121770552898708,0.10526315789473684
siglip2_so400m,train,Psoriasis,0.52,3,16,3,3,13,0,1.0,0.8125,0.90625,0.5,1.0,0.6666666666666666,0.8958333333333334,0.5555555555555556,0.254319242343881,0.35567311942577357,0.8421052631578947
siglip2_so400m,train,Folliculitis,0.0,2,17,2,17,0,0,1.0,0.0,0.5,0.10526315789473684,1.0,0.19047619047619047,0.9705882352941176,0.8333333333333333,0.2993234694780856,0.47952466026732793,0.10526315789473684
siglip2_so400m,train,Irritant Contact Dermatitis,0.0,2,17,2,17,0,0,1.0,0.0,0.5,0.10526315789473684,1.0,0.19047619047619047,0.9705882352941176,0.8333333333333333,0.22695925708477976,0.37635441046012075,0.10526315789473684
siglip2_so400m,train,Tinea,0.0,1,18,1,18,0,0,1.0,0.0,0.5,0.05263157894736842,1.0,0.1,1.0,1.0,0.2664497287098177,0.5143662604846452,0.05263157894736842
siglip2_so400m,train,Herpes Zoster,0.47,2,17,2,9,8,0,1.0,0.47058823529411764,0.7352941176470589,0.18181818181818182,1.0,0.3076923076923077,0.9411764705882353,0.75,0.22677504403560725,0.37369184039141,0.5263157894736842
siglip2_so400m,train,Drug Rash,0.0,4,15,4,15,0,0,1.0,0.0,0.5,0.21052631578947367,1.0,0.34782608695652173,0.7500000000000001,0.38075396825396823,0.24716441308512513,0.289486648220765,0.21052631578947367
siglip2_so400m,train,Herpes Simplex,0.0,1,18,1,18,0,0,1.0,0.0,0.5,0.05263157894736842,1.0,0.1,1.0,1.0,0.23593279345793994,0.4839683269199572,0.05263157894736842
siglip2_so400m,train,Impetigo,0.47,1,18,1,11,7,0,1.0,0.3888888888888889,0.6944444444444444,0.08333333333333333,1.0,0.15384615384615385,1.0,1.0,0.21896654017098452,0.4670150828988929,0.42105263157894735
siglip2_so400m,train,Acute Dermatitis NOS,0.0,3,16,3,16,0,0,1.0,0.0,0.5,0.15789473684210525,1.0,0.2727272727272727,0.7083333333333333,0.31313131313131315,0.23691788572264957,0.329139876522516,0.15789473684210525
siglip2_so400m,train,Hypersensitivity,0.0,1,18,1,18,0,0,1.0,0.0,0.5,0.05263157894736842,1.0,0.1,1.0,1.0,0.1961324205288006,0.4422810163937117,0.05263157894736842
siglip2_so400m,train,Acne,0.47,1,18,1,10,8,0,1.0,0.4444444444444444,0.7222222222222222,0.09090909090909091,1.0,0.16666666666666666,1.0,1.0,0.2269699492828561,0.4331487558389965,0.47368421052631576
siglip2_so400m,train,Pigmented Purpuric Eruption,0.0,1,18,1,18,0,0,1.0,0.0,0.5,0.05263157894736842,1.0,0.1,1.0,1.0,0.29011925665529237,0.5004349954818424,0.05263157894736842
siglip2_so400m,train,Leukocytoclastic Vasculitis,0.0,1,18,1,18,0,0,1.0,0.0,0.5,0.05263157894736842,1.0,0.1,1.0,1.0,0.2705260097030517,0.517169821419214,0.05263157894736842
siglip2_so400m,train,Lichen Planus Lichenoid Eruption,0.47,3,16,2,5,11,1,0.6666666666666666,0.6875,0.6770833333333333,0.2857142857142857,0.6666666666666666,0.4,0.8333333333333334,0.45833333333333326,0.21605605001321043,0.2978302122730958,0.6842105263157895
siglip2_so400m,train,Pityriasis Rosea,0.0,1,18,1,18,0,0,1.0,0.0,0.5,0.05263157894736842,1.0,0.1,1.0,1.0,0.19599617330330873,0.44179647690371465,0.05263157894736842
siglip2_so400m,train,Viral Exanthem,0.0,2,17,2,17,0,0,1.0,0.0,0.5,0.10526315789473684,1.0,0.19047619047619047,0.9705882352941176,0.8333333333333333,0.23846634498461405,0.3880371561175898,0.10526315789473684
siglip2_so400m,train,Lichen Simplex Chronicus,0.51,1,18,1,7,11,0,1.0,0.6111111111111112,0.8055555555555556,0.125,1.0,0.2222222222222222,1.0,1.0,0.24243800716774655,0.48893765007194717,0.631578947368421
siglip2_so400m,train,Stasis Dermatitis,0.0,1,18,1,18,0,0,1.0,0.0,0.5,0.05263157894736842,1.0,0.1,1.0,1.0,0.2730782543990573,0.5186113017170053,0.05263157894736842
siglip2_so400m,train,Keratosis Pilaris,0.0,1,18,1,18,0,0,1.0,0.0,0.5,0.05263157894736842,1.0,0.1,1.0,1.0,0.20048493662888398,0.44654345982953125,0.05263157894736842
siglip2_so400m,train,CD - Contact Dermatitis,0.0,1,18,1,18,0,0,1.0,0.0,0.5,0.05263157894736842,1.0,0.1,1.0,1.0,0.2802324443395338,0.5266932021630437,0.05263157894736842
siglip2_so400m,train,Scabies,0.0,2,17,2,17,0,0,1.0,0.0,0.5,0.10526315789473684,1.0,0.19047619047619047,0.9705882352941176,0.8333333333333333,0.20213327705538522,0.3928845830653843,0.10526315789473684
siglip2_so400m,validation,Eczema,0.54,1,2,1,1,1,0,1.0,0.5,0.75,0.5,1.0,0.6666666666666666,0.5,0.5,0.26571948576099275,0.2146012882391612,0.6666666666666666
siglip2_so400m,validation,Allergic Contact Dermatitis,0.5,1,2,0,1,1,1,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.3333333333333333,0.2612278300102451,0.17821658154328662,0.3333333333333333
siglip2_so400m,validation,Insect Bite,0.53,1,2,1,1,1,0,1.0,0.5,0.75,0.5,1.0,0.6666666666666666,0.5,0.5,0.2637108641977551,0.21390532453854877,0.6666666666666666
siglip2_so400m,validation,Urticaria,0.0,0,3,0,3,0,0,,0.0,0.0,0.0,0.0,0.0,,,0.27882240486471893,0.527577206492424,0.0
siglip2_so400m,validation,Psoriasis,0.52,1,2,1,1,1,0,1.0,0.5,0.75,0.5,1.0,0.6666666666666666,1.0,1.0,0.25421417889852377,0.18841982384522754,0.6666666666666666
siglip2_so400m,validation,Folliculitis,0.0,0,3,0,3,0,0,,0.0,0.0,0.0,0.0,0.0,,,0.3305984403390934,0.5746929993232092,0.0
siglip2_so400m,validation,Irritant Contact Dermatitis,0.0,0,3,0,3,0,0,,0.0,0.0,0.0,0.0,0.0,,,0.23588958640817181,0.4850722104310989,0.0
siglip2_so400m,validation,Tinea,0.0,0,3,0,3,0,0,,0.0,0.0,0.0,0.0,0.0,,,0.2810365732382345,0.5300759772459666,0.0
siglip2_so400m,validation,Herpes Zoster,0.47,1,2,0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.25263169008346215,0.14615895350774133,0.0
siglip2_so400m,validation,Drug Rash,0.0,0,3,0,3,0,0,,0.0,0.0,0.0,0.0,0.0,,,0.2517241359046838,0.5014351904392242,0.0
siglip2_so400m,validation,Herpes Simplex,0.0,0,3,0,3,0,0,,0.0,0.0,0.0,0.0,0.0,,,0.24127523661870623,0.49110181629657745,0.0
siglip2_so400m,validation,Impetigo,0.47,1,2,0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2550218192659821,0.14693023264408112,0.0
siglip2_so400m,validation,Acute Dermatitis NOS,0.0,0,3,0,3,0,0,,0.0,0.0,0.0,0.0,0.0,,,0.23637726570133424,0.4859058707952499,0.0
siglip2_so400m,validation,Hypersensitivity,0.0,0,3,0,3,0,0,,0.0,0.0,0.0,0.0,0.0,,,0.22079392827868669,0.4684172769387563,0.0
siglip2_so400m,validation,Acne,0.47,1,2,1,0,2,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23077167592985984,0.14335577189922333,1.0
siglip2_so400m,validation,Pigmented Purpuric Eruption,0.0,0,3,0,3,0,0,,0.0,0.0,0.0,0.0,0.0,,,0.29036561830031454,0.5386073539654413,0.0
siglip2_so400m,validation,Leukocytoclastic Vasculitis,0.0,0,3,0,3,0,0,,0.0,0.0,0.0,0.0,0.0,,,0.2769306193000384,0.5262367874383926,0.0
siglip2_so400m,validation,Lichen Planus Lichenoid Eruption,0.47,1,2,1,0,2,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2290722427693462,0.13356323043505353,1.0
siglip2_so400m,validation,Pityriasis Rosea,0.0,0,3,0,3,0,0,,0.0,0.0,0.0,0.0,0.0,,,0.20287745702733032,0.44993459184964496,0.0
siglip2_so400m,validation,Viral Exanthem,0.0,0,3,0,3,0,0,,0.0,0.0,0.0,0.0,0.0,,,0.2408087708220473,0.4906735022862752,0.0
siglip2_so400m,validation,Lichen Simplex Chronicus,0.51,1,2,1,1,1,0,1.0,0.5,0.75,0.5,1.0,0.6666666666666666,0.5,0.5,0.26334517590452505,0.19850019613901776,0.6666666666666666
siglip2_so400m,validation,Stasis Dermatitis,0.0,0,3,0,3,0,0,,0.0,0.0,0.0,0.0,0.0,,,0.30106415886532467,0.5483563343683878,0.0
siglip2_so400m,validation,Keratosis Pilaris,0.0,0,3,0,3,0,0,,0.0,0.0,0.0,0.0,0.0,,,0.19491312680180015,0.4413306514422099,0.0
siglip2_so400m,validation,CD - Contact Dermatitis,0.0,0,3,0,3,0,0,,0.0,0.0,0.0,0.0,0.0,,,0.2804201465070801,0.5278773953517277,0.0
siglip2_so400m,validation,Scabies,0.0,0,3,0,3,0,0,,0.0,0.0,0.0,0.0,0.0,,,0.200298560422865,0.4475218206644058,0.0
siglip2_so400m,test,Eczema,0.54,2,4,2,3,1,0,1.0,0.25,0.625,0.4,1.0,0.5714285714285714,0.375,0.3666666666666667,0.27857244777482454,0.2223258515199025,0.5
siglip2_so400m,test,Allergic Contact Dermatitis,0.5,1,5,1,4,1,0,1.0,0.2,0.6,0.2,1.0,0.3333333333333333,0.4,0.25,0.26394464138161033,0.35081001371145243,0.3333333333333333
siglip2_so400m,test,Insect Bite,0.53,2,4,1,3,1,1,0.5,0.25,0.375,0.25,0.5,0.3333333333333333,0.375,0.41666666666666663,0.27407145150997214,0.2107781892021497,0.3333333333333333
siglip2_so400m,test,Urticaria,0.0,1,5,1,5,0,0,1.0,0.0,0.5,0.16666666666666666,1.0,0.2857142857142857,0.8,0.5,0.2705821488275807,0.36554784824450814,0.16666666666666666
siglip2_so400m,test,Psoriasis,0.52,1,5,0,2,3,1,0.0,0.6,0.3,0.0,0.0,0.0,0.4,0.25,0.260069555830929,0.34679001569747925,0.5
siglip2_so400m,test,Folliculitis,0.0,1,5,1,5,0,0,1.0,0.0,0.5,0.16666666666666666,1.0,0.2857142857142857,0.19999999999999996,0.2,0.3102648540657486,0.41324575493733096,0.16666666666666666
siglip2_so400m,test,Irritant Contact Dermatitis,0.0,1,5,1,5,0,0,1.0,0.0,0.5,0.16666666666666666,1.0,0.2857142857142857,0.8,0.5,0.23716713947035453,0.3215019727746645,0.16666666666666666
