encoder,classifier,split,subset_accuracy,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,auc_micro,auc_macro,pr_auc_micro,pr_auc_macro,brier_macro,ece_macro
bit50,logistic,train,0.826579767639558,0.8524552547039926,0.9867197875166003,0.9146866921088268,0.971481121100176,0.9971405140866804,0.9822679138629721,0.9989666419176085,0.9971062656043265,0.9714791237941854,0.9825887799211914,0.007546734949496663,0.01904444999460381
bit50,logistic,validation,0.15384615384615385,0.16482412060301507,0.20398009950248755,0.18232351306281266,0.09399563226112337,0.107941436898776,0.09875678521356943,0.7301900670646545,0.6748943037683537,0.11986047751043188,0.09606291912209947,0.06416175509641572,0.0693935555047664
bit50,logistic,test,0.16266666666666665,0.18219037871033777,0.22166874221668742,0.2,0.13122464084274318,0.13897189878331456,0.13098569597623877,0.7413295103522263,0.6905739298573386,0.12598333481892804,0.11015903738395696,0.06250480145707107,0.06705973426967902
